오이고추양파장아찌,초간단 오이고추 양파장아찌(남은장아찌간장활용),"양파, 오이고추, 청양고추, 식초, 간장"
김치녹두전,김치녹두전 집에서도 간단하게 ~,"녹두, 배추김치, 돼지고기, 소금"
우엉치즈김밥,우엉치즈김밥과 계란말이 치즈김밥,"김, 치즈, 밥, 우엉, 김, 밥, 치즈, 계란"
두유버섯리조또,우리아이 부드러운 아침 간편유아식 두유버섯리조또,"버섯, 양파, 두유, 치즈, 밥, 소금, 치즈, 올리브유"
참치마요덮밥,참치마요덮밥,"참치, 양파, 마요네즈, 설탕, 식초, 와사비, 달걀, 김, 물, 간장, 설탕, 청주, 미림, 양파, 마늘, 생강, 후추, 전분"
버섯치즈베이글샌드위치,버섯치즈 베이글샌드위치,"팽이버섯, 새송이버섯, 느타리버섯, 올리브유, 모짜렐라치즈, 크림치즈, 피클, 상추, 양파베이글, 건파슬리가루, 소금, 후추"
현미팥죽,현미팥죽 끓이기,"팥, 데치는물, 삶는물, 현미찹쌀, 멥쌀, 소금, 찹쌀가루, 소금, 소금, 설탕"
사천짜장떡볶이,구수하고 매콤한 사천짜장 떡볶이,"떡볶이떡, 양파, 양배추 , 대파, 어묵, 쫄면, 물, 다다, 춘장, 고추장, 설탕, 마늘"
가지나물조림,가지나물조림볶음 백종원 굴소스 황금레시피 남편아이 도시락 7월 여름제철밑반찬,"가지, 양파, 굴소스, 고춧가루, 설탕, 통깨, 간마늘, 파, 식용유"
초코프레첼머랭쿠키,"프레첼 머랭 쿠키의 업그레이드 ""초코 프레첼 머랭 쿠키""","계란자, 설탕, 레몬 수, 프레첼"
참치햄김치찌개,참치햄김치찌개~,"김치, 멸치다시육수, 두부, 햄, 양파, 대파, 홍고추, 액젓"
브레드,"밥솥 플랫브레드, 피타 브레드(pita bread)","다용도 밀가루, 물, 우유, 설탕, 소금, 올리브유, 드라이이스트"
돼지고기목이버섯볶음밥,돼지고기목이버섯볶음밥,"밥, 돼지고기 목살, 목이버섯, 양파, 애호박, 당근, 양배추, 파, 기름, 간장, 굴소스, 참기름, 후추, 소금, 미림, 후추"
닭가슴살소세지깍두기볶음밥,닭가슴살 소세지 깍두기 볶음밥,"파, 닭가슴살소세지, 깍두기, 찬밥, 코코넛오일, 김가루, 계란, 깍두기 국물, 들기름, 설탕"
닭가슴살카레우동,"카레, 카레우동.","카레가루, 소시지, 양파, 감자, 물, 진간장"
훈제닭가슴살샌드위치,훈제닭가슴살샌드위치!,"닭가슴살, 식빵, 토마토, 치즈, 오이, 오이피클, 양상추, 머스터드소스, 마요네즈"
토마토카레닭볶음탕,"토마토 카레 닭볶음탕 만들기 - 방울토마토 요리, 여름 보양식, 복날음식","닭고기, 감자, 양파, 당근, 방울토마토, 카레, 대파, 마늘, 생강, 진간장, 고추장, 굴소스, 참기름, 맛술, 매실청, 올리고당, 후추"
대패삼겹살덮밥,대패삼겹살덮밥!!!,"대패삼겹살, 양파, 통마늘, 쪽파, 소금, 후추, 밥, 식용유, 달걀노른자, 진간장, 맛술, 설탕, 참기름"
돈까스카레라이스,바삭하게 즐기는 돈까스 카레 덮밥(돈까스 카레라이스),"돈까스, 고구마, 호박, 양파, 밥, 물, 카레가루"
토마토계란볶음밥,토마토 계란 볶음밥,"달걀, 대파, 방울토마토, 공기밥, 간장, 맛술, 올리브유, 허브맛소금"
표고버섯전복굴밥,영양 맛 모두 굿뜨! 표고버섯전복굴밥,"쌀, 전복, 굴, 참기름, 표고버섯, 물, 청양고추, 간장, 파, 참기름, 조미료, 통깨"
토마토두부샐러드,토마토 두부샐러드,"깍둑썰은 두부, 토마토, 발사믹식초, 간장, 올리고당, 양파, 올리브오일, 파슬리가루"
소불고기비빔밥,소불고기비빔밥,"당근, 오이, 불고기, 양파, 달걀, 상추, 고추장, 들기름, 소금"
김주먹밥,간단 김주먹밥,"밥, 단무지, 조미김, 천일염, 참기름"
냉동목살순두부된장찌개,냉동목살 순두부 된장찌개!,"목살, 순두부, 애호박, 양파, 무, 느타리버섯, 청양고추, 건다시마 크기, 다시멸치, 된장, 고추가루, 마늘, 후추가루"
단팥죽,단팥죽 만들기,"단팥 , 물, 견과류"
단호박오리불고기,"쉽게 따라하는 푸드스타일링 ""단호박오리불고기""","단호박, 오리, 양파, 파프리카, 팽이 버섯, 파, 깨소금, 마늘, 청주, 매실액, 고춧가루, 올리고당, 진간장, 고추장, 참기름"
새송이버섯떡갈비솥밥,솥밥 레시피 새송이버섯 떡갈비 솥밥,"쌀, 멸치육수, 새송이버섯, 쪽파, 깨소금, 참기름, 떡갈비, 진간장, 올리고당, 참기름"
간장치킨떡볶이,떡국떡이 신의 한수! 간장치킨떡볶이!,"닭 닭, 떡국떡, 우유, 허브솔트, 후추, 청주, 올리브오일, 통깨, 설탕, 고춧가루, 마늘, 파, 간장, 굴소스, 물엿, 청양고추, 물"
모닝빵참치샌드위치,사과를 넣어 더 맛있는 모닝빵 참치샌드위치,"모닝빵, 참치, 양파, 사과, 오이피클, 마요네즈, 머스터드, 소금, 후추, 청상추"
김치제육덮밥,[하루한끼] 김치제육덮밥,"돼지고기불고기, 묵은지, 양파, 대파, 호박, 당근, 마늘 크게, 고춧가루, 고추장 크게, 간장, 설탕, 매실액, 올리고당, 맛술, 참기름, 후추"
대파냉파스타,대파 싫어하는 아이들도 잘 먹는 대파 냉파스타 만들어 보세요.,"대파, 푸실리면, 간장, 올리브오일, 참기름, 올리고당, 식초, 마늘"
멸치칼국수버섯전골,멸치칼국수 버섯 전골,"멸치 칼국수, 표고버섯, 느타리버섯, 팽이 버섯, 새송이 버섯, 미나리, 양파, 배추, 홍고추, 풋고추, 쪽파, 소금, 물"
누룽지시래기갈비탕,#시래기나물을 이용한 #시래기청국장찌개만들기 #구수한 시래기나물을 넣고 초간단으로 끓여낸 시래기청국장찌개!!! ,"시래기나물, 두부, 애호박, 양파, 마늘, 썬 파, 된장, 청국장, 천연조미료육수"
연어시금치크림파스타,연어시금치크림파스타:연어캔과 포항초의 맛있는 만남,"스파게티면, 소금, 생크림, 우유, 마늘, 양파, 시금치, 느타리, 소금, 후추, 치즈가루, 버터, 올리브오일"
생강차,생강차 만들기,"햇생강, 황설탕"
갈릭치즈떡꼬치,갈릭치즈떡꼬치,"떡, 치즈, 마늘, 식용유, 마늘, 버터, 파슬리, 마요네즈 및 머스타드소스, 꿀"
펜네파스타샐러드,[식약처] 펜네 파스타 샐러드,"펜네 파스타, 청피망, 홍피망, 양파, 완두콩, 블랙올리브, 아스파라거스, 토마토 콩카세, 파마산치즈, 소금, 잣, 올리브오일, 바질"
갈릭에그토스트,갈릭 스크램블에그 오픈 토스트,"마늘, 달걀, 토스트, 버터, 쪽파 썬 것 한, 소금, 후추, 파마산치즈"
와플,"메이플 와플, 오렌지 와플, 라즈베리 와플","와플, 메이플 시럽, 오렌지 시럽, 라즈베리 시럽, 휘핑크림"
계란식빵핫도그,엄마표 계란식빵핫도그,"달걀, 식빵, 수제소시지, 오이피클, 양파, 소금, 후추, 야채, 마요네즈, 허니머스타드, 달걀노른자, 마요네즈, 소금, 후추"
호두베이글샌드위치,감자 호두 베이글 샌드위치,"감자, 오이, 적배추, 달걀, 치커리, 피스타치오분태, 생크림, 마요네즈, 소금, 후추, 허니머스타드"
name,food_name,ingredients
수삼갈비탕영양죽,건강간편식 건강한식 더비비고 수삼갈비탕 영양죽,"더비비고 수삼갈비탕, 감자, 양파, 당근, 호박, 버섯, 쌀, 찹쌀"
소고기무국라면,밥솥 소고기미역국 라면 ,"소고기, 물, 라면사리, 국간장, 액젓, 참기름, 미역"
목살스테이크샐러드,목살 스테이크 샐러드,"돼지고기 목살, 허브솔트, 쌈채소, 플레인요구르트, 올리고당, 소금, 파슬리, 발사믹식초"
묵은지갈비찜,묵은지 갈비찜 만들었어요,"묵은지, 갈비, 소주, 물, 다시마, 고춧가루, 국간장, 양파, 설탕, 참기름, 당근, 풋고추, 마늘거, 파"
두부스테이크구이,에어프라이어 들기름 두부 스테이크구이 다이어트요리 칼로리,"두부, 대파, 청양고추, 고춧가루, 통깨, 간마늘, 들기름, 간장, 물, 설탕, 들기름"
버섯불고기메추리알장조림,[버섯불고기메추리알장조림 만드는 법]건강한식 더비비고 버섯불고기로 만든 맛있는 밑반찬,"더비비고 버섯불고기 덮밥소스 180g, 깐메추리알, 청양고추, 간마늘, 통깨, 물, 간장, 요리당"
마늘쫑새우볶음밥,마늘쫑 새우볶음밥 만들기,"생새우살, 밥, 마늘쫑썬것, 양파, 파프리카, 카놀라유, 소금, 후추, 청주, 굴소스, 케찹"
가지푸실리파스타,가지 푸실리파스타 만들기,"푸실리, 가지, 오징어, 새우살, 양파, 모짜렐라, 바질, 올리브유, 물면삶기용, 소금, 올리브유, 토마토소스, 후추, 화이트와인, 소금"
아스파라거스베이컨볶음밥,아스파라거스베이컨볶음밥,"아스파라거스, 베이컨, 대파, 소금, 후춧가루, 식용유, 오레가노, 치즈"
주꾸미콩나물불고기,주꾸미 콩나물 불고기,"주꾸미, 목전지살, 콩나물, 양파, 표고버섯, 당근 채썬거, 청양고추, 홍고추, 대파, 고추장, 고춧가루, 간장, 요리당, 참치액, 들기름, 소금, 후춧가루, 참기름, 통깨, 미림"
부추고추장불고기,돼지고기 앞다리살 부추 고추장 불고기 ,"돼지고기, 양파, 부추, 당근, 생표고버섯, 청량고추, 고추장, 고추가루, 진간장, 매실청, 생강청, 마늘, 참기름, 맛술, 설탕, 후추"
코코넛치킨카레,인도향 듬뿍나는 코코넛치킨카레,"닭 , 우유 , 카레가루, 마늘, 쪽파 송송썬거, 마늘, 파슬리가루, 소금, 후추, 중간사이즈 양파, 코코넛밀크, 치킨스톡, 쪽파 송송썬거, 중간사이즈 양파, 올리브유, 쿠민가루, 코리앤더가루, 강황가루, 육두가루, 소금, 후추, 카엔페퍼, 시나몬가루"
소시지로제파스타,소시지 로제파스타,"파스타면, 비엔나소시지, 해물로제 스파게티소스, 올리브유"
하와이안햄버거스테이크,햄버거 스테이크 ,"쇠고기 육, 돼지고기 육, 양파, 모짜렐라 덩어리치즈, 빵가루, 양파, 베이비야채, 미니파프리카, 아스파라거스, 우스터소스, 소금, 후추, 올리브오일, 발사믹 식초, 소금"
마늘스테이크덮밥,스테이크 덮밥 만들기,"등심, 파, 양파, 마늘, 토마토 중간사이즈, 양배추, 올리브유, 소금, 후추, 스테이크소스, 버터, 밥, 어린잎채소, 와사비"
참치김치볶음밥브리또,노릇하게 구운 밥에 참치면 말 다했지! 밥브리또,"밥, 김치, 참치, 체다치즈, 모짜렐라치즈, 참기름, 후추"
