name,food_name,ingredients
수삼갈비탕영양죽,건강간편식 건강한식 더비비고 수삼갈비탕 영양죽,"['더비비고 수삼갈비탕', '감자', '양파', '당근', '호박', '버섯', '쌀', '찹쌀']"
소고기무국라면,밥솥 소고기미역국 라면 ,"['소고기', '물', '라면사리', '국간장', '액젓', '참기름', '자른미역']"
목살스테이크샐러드,목살 스테이크 샐러드,"['돼지고기 목살', '허브솔트', '쌈채소', '플레인요구르트', '올리고당', '소금', '다진 파슬리', '발사믹식초']"
묵은지갈비찜,묵은지 갈비찜 만들었어요,"['묵은지', '갈비', '소주', '물', '다시마', '고춧가루', '국간장', '양파', '설탕', '참기름', '당근', '풋고추', '마늘다진거', '파']"
두부스테이크구이,에어프라이어 들기름 두부 스테이크구이 다이어트요리 칼로리,"['두부', '대파', '청양고추', '고춧가루', '통깨', '간마늘', '들기름', '간장', '물', '설탕', '들기름']"
버섯불고기메추리알장조림,[버섯불고기메추리알장조림 만드는 법]건강한식 더비비고 버섯불고기로 만든 맛있는 밑반찬,"['더비비고 버섯불고기 덮밥소스 180g', '깐메추리알', '청양고추', '간마늘', '통깨', '물', '간장', '요리당']"
마늘쫑새우볶음밥,마늘쫑 새우볶음밥 만들기,"['생새우살', '밥', '마늘쫑썬것', '다진 양파', '다진파프리카', '카놀라유', '소금', '후추', '청주', '굴소스', '케찹']"
가지푸실리파스타,가지 푸실리파스타 만들기,"['푸실리', '가지', '오징어(손질된것)', '새우살', '양파', '모짜렐라', '바질', '올리브유', '물(면삶기용)', '소금', '올리브유', '토마토소스', '후추', '화이트와인', '소금']"
아스파라거스베이컨볶음밥,아스파라거스베이컨볶음밥,"['아스파라거스', '베이컨', '대파', '소금', '후춧가루', '식용유', '오레가노', '파르메산치즈']"
주꾸미콩나물불고기,주꾸미 콩나물 불고기,"['주꾸미', '목전지살', '콩나물', '양파', '표고버섯', '당근 채썬거', '청양고추', '홍고추', '대파', '고추장', '고춧가루', '간장', '요리당', '참치액', '들기름', '소금', '후춧가루', '참기름', '통깨', '미림']"
냉동목살순두부된장찌개,냉동목살 순두부 된장찌개!,"['냉동 목살', '순두부', '애호박', '양파', '무', '느타리버섯', '청양고추', '건다시마 작은크기', '다시멸치', '된장', '고추가루', '다진마늘', '후추가루']"
부추고추장불고기,돼지고기 앞다리살 부추 고추장 불고기 ,"['돼지고기', '양파', '부추', '당근', '생표고버섯', '청량고추', '고추장', '고추가루', '진간장', '매실청', '생강청', '마늘', '참기름', '맛술', '설탕', '후추']"
코코넛치킨카레,인도향 듬뿍나는 코코넛치킨카레,"['닭 (허벅지살)', '일반우유 반컵 (', '인도카레가루', '다진마늘', '쪽파 송송썬거', '다진마늘', '파슬리가루', '소금', '후추', '중간사이즈 양파', '코코넛밀크', '치킨스톡', '쪽파 송송썬거', '중간사이즈 양파', '올리브유', '쿠민가루', '코리앤더가루', '강황가루', '육두가루', '소금', '후추', '카엔페퍼', '시나몬가루']"
소시지로제파스타,소시지 로제파스타,"['파스타면', '비엔나소시지', '시판해물로제 스파게티소스', '올리브유']"
하와이안햄버거스테이크,햄버거 스테이크 ,"['쇠고기 다짐육', '돼지고기 다짐육', '다진양파', '모짜렐라 덩어리치즈', '빵가루', '양파', '베이비야채', '미니파프리카', '아스파라거스', '우스터소스', '소금', '후추', '올리브오일', '발사믹 식초', '소금']"
마늘스테이크덮밥,스테이크 덮밥 만들기,"['등심', '파', '양파', '마늘', '토마토 중간사이즈', '양배추', '올리브유', '소금', '후추', '스테이크소스', '버터', '밥', '어린잎채소', '와사비']"
참치김치볶음밥브리또,노릇하게 구운 밥에 참치면 말 다했지! 밥브리또,"['밥', '김치', '참치', '체다치즈', '모짜렐라치즈', '참기름', '후추']"
새송이버섯소고기장조림,새송이버섯소고기장조림~수입홍두께살로 맛있게,"['소고기', '새송이버섯', '사과', '대파', '편생강', '월계수잎', '청양고추', '소고기삶을때 맛술', '진간장', '굴소스', '다진마늘', '후추가루', '올리고당', '참기름', '통깨']"
꼬막콩나물불고기,#꼬막불고기 [꼬막콩나물불고기-크리스마스에 메인요리활용],"['손질된 꼬막', '콩나물', '양파', '파', '고추장', '고춧가루', '간장', '다진마늘', '설탕', '조청또는물엿', '매실액', '생강가루', '참기름', '깨']"
토마호크찹스테이크, 토마호크 찹스테이크 만들기~ 소고기 요리 ,"['소고기 토마호크', '소금', '후추', '올리브유', '파프리카', '양파', '청양고추', '스테이크 소스', '굴 소스', '케첩', '꿀', '다진 마늘', '버터']"
함박스테이크버거,#함박스테이크버거만들기 #치킨버거만들기 #치킨텐더와 함박스테이크,"['치킨 텐더', '함박 스테이크', '햄버거 빵', '허니머스터드소스', '케찹', '양파 슬라이스', '토마토', '상추']"
키위파스타샐러드,키위파스타샐러드,"['푸실리파스타', '삶을 물', '천일염', '엑스트라버진 올리브오일', '가는소금', '후춧가루', '파슬리가루', '제스프리골드키위', '감귤', '미니브리치즈(50g)', '블랙올리브', '엑스트라버진 올리브오일', '발사믹식초', '아가베시럽', '소금', '후춧가루']"
육회샐러드,[식약처] 노른자크림 육회샐러드,"['소고기 홍두깨살', '두릅', '아보카도', '배', '마늘', '달걀', '레몬', '크림치즈', '설탕', '소금', '참기름']"
맑은육개장,[식약처] 맑은 육개장,"['무', '양파', '대파', '고사리', '청양고추', '팽이버섯', '소고기 양지머리', '물', '마늘', '청양고추', '맛간장', '후춧가루', '다진마늘', '다진대파', '볶은 소금', '다진마늘']"
깻잎참치볶음밥,깻잎 참치 볶음밥 레시피,"['밥', '계란', '참치캔', '파', '깻잎', '참치액젓', '참기름', '후추']"
크레미카레볶음밥,크레미 카레볶음밥 만들기 ,"['크레미', '호박', '양파', '계란', '밥', '카레가루', '참기름', '후춧가루']"
간장연어덮밥,초간단 간장 연어 덮밥 만들었어요 :) ,"['밥', '생연어', '식초', '간장', '무순', '채 썬 양파', '케이퍼 어니언 소스']"
소고기볶음고추장,소고기볶음고추장 69레시피,"['소고기', '파 윗부분', '다진마늘', '올리브유', '고추장', '설탕', '간장', '참기름', '참깨']"
카레새우볶음밥,카레새우볶음밥 만들기,"['계란', '양파', '손질새우', '부추', '카레', '후추가루', '청주']"
돼지고기고추장불고기,돼지고기 제육볶음 돼지고기 고추장 불고기,"['돼지고기 앞다리살', '양파', '대파', '깻잎', '마늘', '생강 청', '설탕', '고춧가루', '고추장', '진간장', '굴 소스', '맛술', '올리고당', '후춧가루', '통깨']"
들깨소고기미역국,들깨소고기미역국/ 소고기미역국 맛있게 끓이는 법/아이국,"['마른미역', '소고기양지', '참치액', '다진마늘', '소금', '들깨가루', '들기름', '물', '소금', '마늘가루', '후추']"
꽃등심스테이크,꽃등심스테이크,"['소고기 꽃등심 부위', '로즈마리 잎사귀', '샐러드야채', '블루베리', '파마산치즈가루', '허브솔트', '스테이크소스', '물', '케첩', '올리고당', '밀가루', '다진마늘']"
닭안심고추장불고기,매콤매콤 닭안심 고추장불고기,"['닭안심', '양파', '새송이버섯', '청양고추', '고추장', '고춧가루', '간장', '매실액', '다진마늘', '참기름', '맛술', '소금', '후추']"
돼지고기안심스테이크,손님초대음식 간단한 요리 돼지고기 안심 스테이크,"['돼지고기 안심', '양파', '새송이버섯', '마늘', '페페론치노', '소금', '후추', '설탕', '버터', '레드와인', '스테이크소스', '물']"
아보카도훈제연어덮밥,간단하게 아보카도훈제연어덮밥 한끼 해결!!,"['훈제연어', '아보카도', '계란', '양파', '파', '설탕', '진간장', '맛술', '물']"
김치돼지불고기,"토요일 아침, 신김치돼지불고기!","['불고기용 돼지고기', '신김치', '양파', '대파', '청주', '고추장', '고춧가루', '간장', '설탕', '미림', '다진마늘', '다진생강', '다진 청양고추', '후춧가루']"
불고기육전,불고기 육전 만들기,"['소고기', '찹쌀가루', '소금', '후추']"
치킨카레덮밥,치킨카레덮밥 (남은 치킨 따뜻하게 활용하기),"['치킨 닭다리', '식용유', '야채카레', '밥', '파슬리가루']"
생선카레볶음밥,다이어트도 맛있게 먹으면서 생선카레볶음밥 ,"['잡곡 밥', '고등어 생선살', '양배추', '표고버섯', '닭고기 비엔나', '청양고추', '홍청양고추', '올리브오일', '카레가루']"
아보카도연어덮밥,아보카도연어덮밥,"['훈제연어 1인', '양파 소', '공기밥', '아보카도', '통깨', '쯔유', '식초']"
루꼴라토마토파스타,"루꼴라 토마토 파스타 레시피 / 방울토마토, 마늘, 치킨스톡, 루꼴라로 파스타 맛을 더해봐요","['파스타 면', '토마토 소스', '루꼴라', '마늘', '방울토마토', '올리브오일', '치킨스톡', '소금', '후추']"
돼지고기떡갈비,돼지고기 떡갈비만들기,"['돼지고기등심 간거', '계란', '전분가루', '애호박', '당근', '버섯', '대파', '피망', '양파', '생강즙', '소금', '후추', '매실액', '마늘', '간장', '소금']"
햄두부스테이크,햄두부스테이크,"['스팸', '두부', '양파', '깻잎', '계란', '전분 가루', '허브솔트', '케첩', '굴소스', '설탕', '물', '스테이크소스']"
총각김치홍게살볶음밥,푹익은 총각무김치 볶음밥 ,"['총각무 계란', '햄', '밥', '참기름']"
간장새우볶음밥,감칠맛이 입에 맴도는 초간단 간장새우볶음밥!,"['새우', '양파', '간장', '맛술', '올리고당', '식용유']"
돈가스달걀우유카레,♥[신혼밥상] 돈가스 달걀우유카레,"['돈가스', '카레가루', '감자', '양파', '애호박', '분홍 소시지', '새송이버섯', '우유', '달걀', '버터']"
크림새우카레우동,"달달한 연인을 위해 만들기
크림새우카레우동","['우동면', '휘핑크림', '냉동새우', '양파', '물', '감자', '카레가루', '버터', '후추', '파슬리가루']"
돼지고기목살스테이크,돼지고기목살스테이크,"['돼지고기목살(스테이크용)', '감자', '로즈마리', '한팩샐러드', '버섯', '소금', '후추', '양파즙']"
중국식계란볶음밥,초간단 중국식 계란볶음밥,"['밥', '계란', '다진쪽파', '소금', '후추']"
어묵김치볶음밥,어묵 김치볶음밥,"['밥', '김치', '사각어묵', '달걀', '들기름', '포도씨유', '통깨']"
백골뱅이알리오올리오파스타,백골뱅이 알리오올리오 파스타 만드는 법,"['파스타면', '마늘', '양파', '시금치', '포도씨오일', '올리브오일', '굴소스', '소금', '후추', '물', '소금']"
시금치참치볶음밥,시금치 참치볶음밥 만드는 법,"['시금치', '참치통조림', '마늘', '양파', '밥', '소금', '후춧가루', '식용유']"
전복팽이버섯불고기,전복 삼겹살 불고기,"['삼겹살', '꼬마전복', '대파', '양파', '청양고추', '홍고추', '다진마늘', '설탕', '고추가루', '고추장', '생강술', '올리고당', '후추', '참기름']"
고추장돼지불고기쌈밥,돼지고기 고추장불고기 만드는 법 고추장불고기 돼지고추장불고기 고추장불고기양념 돼지고기요리,"['돼지고기 앞다리살', '양파', '대파', '당근', '양배추', '콩나물', '다진마늘', '고추장', '된장', '고춧가루', '맛술', '설탕', '참기름', '깨']"
옥수수치즈김치볶음밥,옥수수 치즈 김치볶음밥,"['스팸', '신 김치', '밥', '대파', '설탕', '식용유', '간장', '참기름', '통깨', '모차렐라', '콘 옥수수']"
소세지마늘볶음밥,소세지마늘볶음밥,"['비엔나소세지', '통마늘', '대파', '진간장', '식용유', '후춧가루', '통깨', '밥']"
두반장돼지고기덮밥,두반장 돼지고기 덮밥 ,"['돼지고기', '마늘', '양배추', '대파', '식용유', '밥', '두반장', '다진 마늘', '간장', '설탕', '고춧가루', '청주', '후춧가루']"
바지락토마토파스타,바지락 토마토 파스타,"['조갯살', '파스타', '블랙올리브', '양파', '파스타소스', '토마토', '마늘 가루', '올리브오일']"
고사리육개장,고사리 육개장 만들기,"['소고기 국거리용', '삶은 고사리', '대파', '느타리버섯', '소금약간', '후춧가루 약간', '고춧가루', '다진마늘', '국간장', '고추장']"
닭똥집샐러드파스타,닭똥집 샐러드 파스타! 모두가 만족하는 어린이날 어버이날 레시피,"['스파게티 면', '소금', '물', '올리브유', '새싹채소', '맛살', '방울토마토', '샐러드용 치즈', '오리엔탈 드레싱', '닭근위', '밀가루', '소금', '미림 또는 소주', '물', '마늘', '은행', '소금', '후추', '올리브유']"
양갈비스테이크,양갈비 스테이크,"['다진마늘', '다진로즈마리', '파슬리', '올리브유', '양갈비', '소금', '후추', '디종머스터드', '빵가루', '레지아노치즈', '방울토마토']"
소고기볶음면,5단계로 간단하게 해먹는 소고기볶음면,"['중화면', '소고기 샤브샤브용', '참기름', '양배추', '양파', '설탕', '미림', '간장', '후추']"
느타리버섯덮밥,매콤 느타리버섯덮밥 만드는 법,"['밥', '느타리버섯', '참기름', '통깨', '달걀', '식용유', '설탕', '간장', '다진마늘', '맛술', '고추장', '다진대파']"
시금치버섯된장찌개,시금치버섯 된장찌개 만들기,"['시금치', '버섯', '대파', '물', '된장', '고추장']"
된장밀푀유나베,#밀푀유나베 #토장밀푀유나베 #된장밀푀유나베만들기 #구수한_된장육수로_만드는 된장밀푀유나베,"['불고기용소고기', '깻잎', '알배기배추', '천연조미료육수', '토장(된장)', '다진마늘', '썬파', '맛술', '표고버섯', '대파', '쯔유', '육수', '연겨자']"
김치돈까스덮밥,느끼하지않아 맛있는 김치돈까스덮밥,"['돈까스', '양파', '달걀', '대파', '김치', '간장', '술', '가쓰오부시']"
카프레제파스타샐러드,밥솥으로 페스토 카프레제 파스타샐러드 만들기,"['마카로니', '토마토', '모짜렐라치즈', '소금', '마카로니용 올리브유', '물', '페스토', '다진마늘', '오레가노', '후추', '올리브오일', '식초']"
어묵파인애플볶음밥,별미 볶음밥/어묵 파인애플볶음밥,"['파인애플', '매운 어묵', '양파', '당근', '계란', '대파', '굴소스', '허브솔트', '참기름', '깨', '기름']"
소세지야채볶음밥,아이용 소세지야채볶음밥,"['소세지', '당근', '양파', '파', '간마늘', '소금', '공기 밥']"
오징어햄버거스테이크,오징어 버거 & 오징어 햄버거스테이크,"['오징어', '새송이', '양파', '당근', '대파 흰부분', '빵가루', '맛술', '꽃소금', '후추', '모닝빵', '햄버거스테이크', '김치', '치즈', '머스터드 소스', '다진양파']"
파인애플카레볶음밥,파인애플 카레볶음밥,"['생파인애플', '새우살', '브로콜리', '당근', '밥', '소금', '후춧가루', '카레가루', '버터', '식용유', '후춧가루']"
애호박소고기국수,애호박 소고기국수 드실 준비 되셨나요??!!,"['국수', '애호박', '표고버섯', '소고기 다짐육', '물', '멸치', '간장', '육수', '고춧가루', '다진 마늘', '다진파', '통깨']"
새우야채카레,새우카레야채볶음밥,"['새우', '양파', '파프리카(노랑)', '파프리카(빨강)', '호박', '당근', '쪽파', '밥', '버터', '파슬리가루', '카레가루']"
단호박오리불고기,"쉽게 따라하는 푸드스타일링 ""단호박오리불고기""","['단호박', '훈제오리', '양파', '파프리카', '팽이 버섯', '파', '깨소금', '다진 마늘', '청주', '매실액', '고춧가루', '올리고당', '진간장', '고추장', '참기름']"
채끝살찹스테이크,채끝살 찹스테이크 만들기,"['소고기(채끝)', '아스파라거스', '양파', '당근', '양송이버섯', '파프리카', '마늘', '스테이크 소스', '캐첩', '설탕', '진간장', '식초', '물']"
가래떡소고기구이,가래떡소고기구이 새해 남은가래떡 장담하는데... 떡이 눈깜짝 할 사이 사라집니다 ‼️,"['가래떡', '소고기', '김', '진간장', '참기름', '설탕', '진간장', '물', '물엿']"
닭고기카레덮밥,매콤 닭고기 카레덮밥,"['매운 카레가루', '닭고기', '썬 양파', '감자', '식용유', '물', '밥']"
갓김치참치볶음밥,갓김치 참치볶음밥! (한 그릇 요리),"['갓김치', '밥', '참치 캔(150g)', '달걀', '참기름', '홍고추', '후춧가루', '오일', '소금']"
버섯불고기갑오징어탕,(건강한식 더비비고) 쫄깃쫄깃 버섯불고기 갑오징어탕,"['더비비고 버섯불고기 덮밥 소스', '갑오징어', '청경채', '표고버섯', '양파', '마늘', '생강', '굴소스', '간장', '참기름', '녹말가루', '물']"
김치제육덮밥,[하루한끼] 김치제육덮밥,"['돼지고기불고기', '묵은지', '양파', '대파', '호박', '당근', '다진마늘 크게', '고춧가루', '고추장 크게', '간장', '설탕', '매실액', '올리고당', '맛술', '참기름', '후추']"
송이버섯소고기국,송이버섯 소고기 볶음~*,"['소고기홍두께살', '착한송이버섯', '양파', '홍고추', '당근', '굴소스', '간장', '다진마늘', '올리고당', '후추']"
포두부알리오올리오파스타,포두부 알리오 올리오 파스타 만드는법 두부면 요리,"['포두부', '마늘', '페페론치노', '올리브유', '파마산치즈가루', '소금', '후추']"
오리불고기볶음밥,오리불고기 볶음밥,"['오리 불고기', '신김치', '후추', '참기름', '김치국물']"
자몽샐러드파스타,자몽 샐러드 파스타,"['자몽', '양파', '토마토', '베이컨', '올리브유', '파스타']"
구운광어푸실리파스타,구운 광어 푸실리 파스타,"['광어 필렛', '푸실리', '편마늘', '작고 매운 건고추', '면수', '올리브유', '파슬리', '올리브유', '맛술', '소금', '후추', '소금', '올리브유']"
치킨로제파스타,#오늘뭐먹지 이제훈쉐프 치킨로제파스타 만들기 #크림이 필요없는 우유만으로 만드는 로제파스타!!!,"['닭가슴살', '베이컨', '편마늘', '대파흰부분', '브라바소스/토마토소스', '우유', '허브가루', '양송이버섯', '후추', '버터', '화이트와인', '파스타면']"
베이컨순두부카레덮밥,베이컨순두부카레덮밥,"['순두부 2개', '양파', '통마늘', '베이컨', '물', '카레가루', '흑후추가루', '소금', '참기름']"
새우버섯된장찌개,새우 버섯 된장찌개 (shrimp/mushroom soy bean paste stew),"['고추장', '조개멸치 된장', '청국장 가루', '두부', '물', '새우', '마늘', '팽이버섯', '느타리버섯', '새송이버섯', '애호박', '고추', '마른멸치', '다시마']"
넙적당면콩나물불고기,"콩불, 콩나물불고기♪","['콩나물', '대패삼겹살', '양파', '당근', '청양고추', '깻잎', '고추장', '고춧가루', '간장', '매실액기스', '다진마늘', '후추']"
표고버섯소고기미역국,표고버섯 소고기미역국!,"['건미역', '소고기', '건표고버섯', '국간장', '생강술', '들기름', '후추가루', '소금']"
