name,food_name,ingredients
호박씨오징어채볶음,호박씨 오징어채볶음 - 딸에게#,"['오징어채', '호박씨', '고추장', '생강술', '식용유', '간장', '조청', '참기름', '통깨']"
전복들깨미역국,전복들깨미역국,"['전복(큰것)', '불린 미역', '국간장', '참기름', '들깨가루', '다시마물', '소금']"
마요참치꼬마김밥,돌돌말아 한입에 쏙~마요참치 꼬마김밥,"['밥', '김밥용김', '마요참치', '단무지', '오이', '계란', '소금', '참기름', '깨소금']"
파프리카참치김밥,파프리카 참치전,"['참치캔', '계란', '빵가루', '파프리카', '계란', '밀가루', '식용유', '파', '마늘', '소금', '후추']"
곤약김무침,곤약김무침 다이어트 반찬 곤약 만들기,"['곤약', '파', '조미김', '간장', '올리고당', '참기름', '통깨']"
돌나물김무침,가정간편식/돌나물 김무침,"['돌나물', '김', '홍고추', '빨강 파프리카', '간장', '매실청', '고춧가루', '다진마늘', '맛술', '올리고당', '황설탕', '식초', '참기름', '깨소금']"
실오징어채볶음,실오징어채볶음 만드는법_ 딸에게#,"['실오징어채', '식용유', '설탕', '통깨', '아몬드슬라이스']"
가자미살멸치볶음밥,가자미살멸치볶음밥으로 우리가족 뼈 튼튼♥,"['가자미살', '멸치', '통마늘', '대파', '밥', '고추기름', '카놀라유', '굴소스', '후추']"
삼각김밥크림리조또,편의점음식으로 만든 삼각김밥크림리조또,"['버터장조림삼각김밥', '참치마요삼각김밥', '우유', '치즈', '소금']"
청양고추견과류멸치볶음,청양고추 견과류 멸치볶음,"['잔멸치', '청양고추', '해바라기씨/아몬드/호박씨', '맛간장', '올리고당', '올리브유', '참기름', '통깨', '대추']"
뚝배기콩나물황태해장국,뚝배기 콩나물 황태 해장국 (+수란),"['황태채', '콩나물', '계란', '대파', '새우젓', '다진마늘', '육수팩']"
청양멸치계란김밥,청양멸치계란김밥(김밥을 상큼하게 만드는법),"['계란', '마요네즈', '소금', '설탕', '물', '김밥용 김', '김밥 단무지', '무쌈 무', '청양 멸치', '밥', '참치액', '참기름', '통깨']"
마늘오징어실채볶음,초간단 마늘 오징어실채 볶음,"['오징어실채', '깐마늘', '외간장', '매실액', '식용유', '통깨']"
아몬드오징어채무침,아몬드오징어채무침 질기지않고 부들부들하게~,"['오징어채', '슬라이스아몬드', '청양고추', '고추장', '간장', '고추가루', '마요네즈', '올리고당', '통깨']"
참치마약김밥,현장체험학습 참치 마약 김밥 예쁜 소풍 도시락 만들기,"['김밥김', '당근', '오이', '햄', '단무지', '어묵', '계란', '크래미', '시금치', '소금', '통깨']"
갈치약고추장삼각김밥,[8월의 수산물 해양수산부] 갈치가 비리다는 생각은 놉~! 갈치약고추장삼각김밥 ★,"['순살 갈치', '바질페스토', '올리브오일', '다진 마늘', '조미김', '쌀밥', '참기름', '팽이버섯', '고추장']"
