name,food_name,ingredients
녹차마스카포네티라미수,녹차 마스카포네 티라미수 만들기! ,"['비스킷(Ladyfinger)', '설탕', '달걀', '마스카포네(약125g)', '녹차가루', '생크림', '우유']"
소시지김달걀말이,도시락반찬 소시지김달걀말이 만들기,"['소시지', '김밥용김', '달걀', '소금']"
전자렌지고구마계란빵,전자렌지 3분 계란빵,"['계란 빵 만들', '팬케이크 믹스', '소금', '락앤락통']"
꽈리고추메추리알장조림,꽈리고추메추리알장조림 메추리알장조림 ,"['메추리알', '꽈리고추', '생수', '간장', '설탕', '맛술', '올리고당', '다시마']"
블루베리요거트아이스크림,블루베리 요거트 아이스크림 ,"['아이스크림 믹스', '블루베리', '저지방 요거트']"
미니치즈김밥,미니 치즈김밥 맛있게 싸는 법,"['밥', '김밥용김', '김밥용단무지', '김밥용햄', '시금치', '당근', '달걀', '슬라이스치즈', '소금', '식용유', '통깨', '소금', '참기름', '소금', '통깨']"
어묵김치볶음밥,어묵 김치볶음밥,"['밥', '김치', '사각어묵', '달걀', '들기름', '포도씨유', '통깨']"
황태계란국해장국,속풀이 황태계란국 해장국 만들기,"['물', '계란', '소금', '후추', '황태채', '대파', '깨']"
딸기누드김밥,누드김밥 ,"['밥', '단무지', '당근', '달걀', '크래미', '시금치', '우엉', '참기름', '소금']"
묵은지스팸볶음밥,묵은지스팸볶음밥~간단한그릇!,"['묵은지', '스팸', '올리브유', '후추가루', '설탕', '참기름', '통깨']"
참치달걀토스트,참치 계란 토스트 만들기,"['참치 통조림', '양파', '피망', '당근', '달걀', '식빵', '딸기쨈', '케찹', '식용유', '소금', '후춧가루']"
육전누드김밥,경기미 참드림쌀 육전누드김밥,"['경기미 쌀 2인분', '돼지고기뒷다리살', '대파', '계란', '김밥김', '밥할때 소금', '맛술', '후추', '밀가루', '맛술', '후추', '소금', '진간장', '식초', '설탕', '참기름', '고추가루']"
무화과과일요거트,제철과일 청무화과 듬뿍담은 청무화과과일 요거트,"['플레인요거트', '청무화과', '오트밀', '바나나', '수박', '방울토마토', '까마중']"
