name,food_name,ingredients
단호박고구마과일샐러드,단호박 고구마 과일샐러드 ,"['단호박', '고구마中', '귤', '양상추', '파프리카', '석류알', '레몬즙', '소금', '플레인 요구르트', '프렌치드레싱', '레몬즙', '샐러드오일', '식초', '설탕', '머스터드소스', '소금', '양파 다진것', '오이피클 다진것']"
크래미마요꼬마김밥,크래미 마요 꼬마 김밥 만들기 (with 단무지),"['크래미', '반달 단무지', '김밥 김', '밥', '마요네즈', '참기름', '소금']"
단호박파운드케이크,단호박 파운드케이크,"['무염버터', '설탕', '달걀', '우유', '박력분', '단호박가루', '베이킹파우더', '단호박', '호박씨', '식용유']"
데리야끼삼겹살덮밥,삼겹살 냉털요리 데리야끼삼겹살덮밥 한그릇유아식,"['삼겹살', '양파', '버섯', '다진 마늘 또는 편마늘', '밥', '진간장', '설탕', '올리고당', '미림', '물', '후추', '참기름', '다진 마늘']"
깻잎감자전,깻잎감자전,"['감자', '깻잎', '양파', '밀가루']"
오리훈제칠리소스볶음,#훈제오리볶음밥 [훈제오리굴소스야채볶음밥],"['훈제오리', '양파', '파프리카', '쪽파', '고추', '마늘', '다진마늘', '굴소스', '진간장', '소금', '설탕', '참기름', '후춧가루']"
생강도라지대추차,목감기 기침에 좋은 차 생강 도라지 대추차 만드는법,"['생강', '건 도라지', '대추', '꿀']"
대패삼겹살김밥,대패삼겹살김밥,"['밥', '대패삼겹살', '김밥용 김', '깻잎짱아찌', '양파', '마늘', '파채', '쌈장', '참기름', '통깨', '소금', '후추']"
펜네알리오올리오파스타,펜네 알리오올리오 파스타 레시피,"['펜네 파스타', '새우', '마늘', '올리브유', '페페론치노', '면수', '소금']"
돼지고기카레볶음밥,다이어트 요리로 든든하고 맛있는 돼지고기카레볶음밥,"['밥', '돼지고기', '양파', '카레가루', '소금', '올리브오일', '청주', '마늘', '파', '통깨', '참기름']"
버섯로제파스타,버섯 로제파스타 ,"['스파게티면', '양송이버섯', '느타리버섯', '방울토마토', '토마토소스', '요리용 크림', '소금', '후추', '드라이 바질', '올리브유', '파스타삶기용 물', '올리브유', '소금']"
참치마요구운주먹밥,참치마요 구운주먹밥 ,"['밥', '진간장', '참기름', '깨', '열무김치', '캔참치', '마요네즈', '소금', '후추']"
강황참치김밥,색감도 맛도 이쁜 강황참치김밥 ,"['쌀', '강황가루', '물', '김밥김', '부추', '김밥햄', '단무지', '계란', '어묵', '맛살', '당근', '참치', '깻잎', '올리브오일', '맛소금', '통깨', '참기름', '마요네즈']"
굴소스새우볶음밥,굴소스 새우볶음밥 ,"['새우', '밥', '계란', '당근', '양파', '버섯등 자투리야채', '버터', '굴소스', '소금', '후추']"
스팸계란말이김밥,스팸 계란말이 김밥,"['공깃밥', '김밥용 김', '단무지', '계란', '스팸', '소금', '참기름']"
김치누드김밥,김치누드김밥,"['밥', '김치', '다진쇠고기', '깻잎', '소금', '참기름', '깨']"
김치야채스팸볶음밥,김치야채스팸볶음밥♡,"['김치', '깍두기', '스팸', '브로콜리', '배추', '양배추', '미나리', '찬밥', '깨', '피자치즈']"
마카다미아초코크림라떼,마카다미아 초코 크림라떼,"['얼음', '우유', '에스프레소', '마카다미아시럽', '동물성 휘핑크림', '핫초코 파우더']"
민트초코케이크,민트초코X3 트리플 민트초코케이크 ♥,"['달걀', '설탕', '박력분', '코코아파우더', '녹인 버터', '식용민트 오일', '다크초콜릿 커버춰', '생크림', '식용민트 오일', '생크림', '설탕', '다진민트 초콜릿', '오레오 부순 것', '생크림', '설탕', '식용민트 오일', '식용색소', '민트 시럽', '오레오', '민트 초콜릿']"
치즈스크램블에그샌드위치,스크램블에그 샌드위치 ,"['계란', '양파', '자연치즈', '식빵', '후춧가루', '호울그레인머스타드']"
시래기굴전, 시래기멸치지짐,"['국물용멸치', '시래기', '고추가루', '다진마늘', '된장']"
감자채팽이버섯전,자꾸 먹고싶어지는 감자채팽이버섯전,"['감자', '팽이버섯', '검정깨', '감자전분', '물', '포도씨유', '들기름', '검정깨', '연두', '소금']"
육전떡국면,육전 떡국면,"['떡국면', '소고기 안심', '달걀', '밀가루', '대파', '홍고추', '소금', '후춧가루', '식용유', '물']"
연어날치마요삼각김밥,연어날치마요 삼각김밥,"['알래스카연어오리지널', '햇반', '백설밥이랑(야채)', '비비고김밥김', '양파', '날치알', '마요네즈', '통깨', '돈가스소스', '가쓰오부시']"
메밀배추전,백김치를 이용한 메밀배추전 만들기,"['백김치', '메밀부침가루', '소금', '쪽파', '식용유']"
불닭까르보나라떡볶이,매콤 고소한 불닭 까르보나라 떡볶이 만들기(+영상)｜효썸,"['양파', '베이컨', '물', '우유', '떡볶이 떡', '크림스프분말', '불닭소스']"
돼지고기마늘볶음밥,돼지고기 마늘볶음밥,"['돼지고기안심', '찬밥', '통마늘', '브로컬리', '올리브유', '카레가루', '꽃소금']"
게살치즈카나페,초간단 와인안주~게살치즈카나페,"['쿠키', '슬라이스치즈', '게살', '베이비채소', '마요네즈', '소금', '후추']"
달래장가지덮밥,입맛돋구는 달래장 가지덮밥 :) 밥맛없을때 딱 좋아요 ,"['쌀', '가지', '당근', '달래', '대파', '간장', '고춧가루', '참깨', '설탕', '참기름']"
돼지고기콩나물볶음밥,돼지고기 콩나물 볶음밥 [고소한 돼지고기와 아삭한 콩나물이 매콤한 양념을 만나 맛있는 볶음밥으로 변신!],"['돼지고기 다짐육', '데친 콩나물', '대파', '밥', '콩나물데친 물', '고추장', '고춧가루', '진간장', '맛술', '설탕', '참기름', '깨']"
갈릭베이컨볶음밥,어린이 갈릭베이컨볶음밥,"['마늘', '당근', '돼지호박', '베이컨', '포도씨유', '밥 수북히', '소금', '후추']"
닭가슴살카레덮밥,닭가슴살 카레덮밥,"['큐브 닭가슴살', '감자', '양파', '당근', '애호박', '마늘', '고형카레', '물']"
배생강차,배생강차,"['배', '생강', '대추']"
초콜릿생크림케이크,초콜릿 생크림 케이크,"['계란', '설탕', '박력분', '베이킹파우더', '버터', '우유 20g 생크림', '설탕', '복숭아', '딸기', '귤', '다크초콜릿', '슈가파우더']"
카레새우볶음밥,카레새우볶음밥 만들기,"['계란', '양파', '손질새우', '부추', '카레', '후추가루', '청주']"
커피파운드케이크,커피 파운드케이크,"['달걀', '박력분', '베이킹파우더', '아몬드 가루', '인스턴트커피', '럼주', '호두', '생크림', '바닐라 엑스트렉(오일)', '버터', '설탕']"
단호박부추전,단호박부추전,"['부추', '단호박', '양파', '계란', '청양고추', '밀가루(부침가루+전분)', '소금']"
반건조가자미미역국,반건조가자미미역국!,"['건미역', '반건조 가자미 큰것', '생강 간거', '고추씨', '국간장', '다진마늘', '후추가루', '생강술']"
브로콜리토마토샐러드,브로콜리토마토샐러드:그린&레드의 크리스마스샐러드,"['브로콜리', '방울토마토', '사과', '사과청', '다진양파', '식초', '생수', '플레인요거트', '마요네즈', '식초', '올리고당', '후추', '소금']"
대패삼겹살육전,대패삼겹살 요리 / 대패삼겹살 육전 ,"['대패삼겹살', '계란', '소금', '후춧가루']"
묵은지참치꼬마김밥,묵은지 참치꼬마김밥,"['참치캔', '계란', '깻잎', '묵은지', '김밥용김', '통깨', '참기름', '소금']"
감자단호박전,감자단호박전 안주로도 딱 입니다.,"['감자', '단호박', '양파', '매운고추', '식용유', '부침가루', '전분가루', '소금', '간장', '물', '식초', '설탕', '청양고추', '깨소금']"
시금치베이컨주먹밥,시금치 베이컨주먹밥,"['데친 시금치', '베이컨', '참기름', '검정깨', '소금']"
마늘튀김두부샐러드,마늘튀김두부샐러드,"['마늘', '생식두부', '베이비채소', '트루라이프 매운오리엔탈드레싱', '간장', '올리브유', '레몬즙', '참기름', '식초', '설탕', '통깨', '다진마늘', '소금', '후추가루']"
치즈감자김치전,치즈 감자 김치전,"['감자 소', '김치', '에멍딸치즈', '청양고추', '풋고추', '감자 전분', '식용유']"
고추장잡채볶음밥,고추장 잡채 볶음밥 - 남은 잡채 활용 요리,"['잡채', '상추', '계란', '밥', '고추장', '식용유']"
토마토살사소스,토마토살사소스,"['방울토마토', '양파', '깻잎', '청양고추', '다진 마늘', '설탕', '식초', '소금', '레몬즙', '나초']"
마늘소스삼겹살구이,마늘 소스 삼겹살 구이 오븐 만드는 법 삼겹살 돼지고기요리 마늘 소스 만드는 법,"['삼겹살', '소금', '후추', '마늘', '버터', '레몬즙', '꿀', '파슬리가루']"
구운계란연두부샐러드,연두부 요리 연두부계란국 부드러워요,"['연두부', '멸치&다시마', '대파', '양파', '계란', '새우젓', '소금']"
오징어토마토파스타,생면으로 만드는 오징어 토마토파스타 매콤하게~,"['마늘', '양파', '오징어', '방울토마토', '시판 토마토소스', '청양고추', '올리브오일', '생면 파스타']"
닭가슴살샐러드파스타,닭가슴살 샐러드 파스타,"['닭가슴살', '펜네', '양상추', '과일', '파마산치즈가루', '올리브오일', '발사믹식초', '간장', '설탕', '레몬즙', '다진양파']"
