name,food_name,ingredients
초코칩생크림케이크,생크림 초코칩머핀 만들기,"['박력분', '생크림', '설탕', '계란', '아몬드가루', '베이킹파우더', '초코칩', '바닐라에센스', '장식용 초코칩']"
연어아보카도콥샐러드,연어 아보카도 콥샐러드,"['오뚜기 참깨드레싱', '스위트콘(오뚜기)', '생연어', '아보카도', '양상추', '방울토마토', '블랙 올리브 슬라이스', '삶은 계란', '바게트 빵']"
숙주두부샐러드,숙주두부샐러드 만드는법 ,"['숙주', '두부', '피망', '대파', '허브솔트', '흑임자 드레싱', '들기름', '통깨']"
키위레몬에이드,키위레몬에이드 만들기 라임도 넣어 말복에 상큼하게 즐겨요 :) ,"['분다버그 레몬라임', '키위', '라임', '얼음', '투명 유리컵']"
무화과에이드,초간단 무화과에이드 ,"['무화과', '사이다', '얼음']"
오징어먹물베이글샌드위치,"오징어 먹물만 있으면 되는 쉬운 ""오징어 먹물 파스타""","['파스타면', '마늘', '후추', '치킨스톡', '파슬리', '크러쉬드 페퍼', '새우', '냉동 오징어', '오징어 먹물', '방울 토마토', '올리브유', '그라나파다노치즈', '아기 채소', '소금']"
푸실리파스타샐러드,푸실리파스타샐러드 만들기,"['양파', '파프리카', '푸실리', '케찹', '볼로네즈소스', '핫소스', '파마산치즈가루']"
토마토매실청절임,맛없은 토마토 매실청절임으로 요긴하게 사용했습니다,"['흑 토마토', '매실청', '소금']"
시나몬사과잼차,시나몬 사과잼차 만들기 애플시나몬차에서 수정과 맛이 나요 :) ,"['사과잼', '계피가루', '물', '유리머그컵', '티스푼']"
가지파스타샐러드,담백한 대구스테이크와 가지 파스타 샐러드,"['가지', '소금', '후추', '올리브유', '대구살', '청주', '전분', '오일', '파스타면', '오이', '견과류', '발사믹식초', '양파']"
크래미계란샌드위치,[마요네즈 대체 다이어트 칼로리 줄인] 단백질 참치 클럽샌드위치 황금 카페 레시피ㅣ업소용 까페 크래미 계란 샌드위치,"['식빵', '계란후라이', '토마토', '양상추', '딸기잼', '참치캔', '크래미', '양배추', '당근', '피클', '그릭요거트', '알룰로스', '머스터드']"
두부콥샐러드,콥샐러드 만들기,"['닭가슴살', '스위트콘', '올리브', '아보카도', '오이', '적양파', '새싹 채소', '파프리카 작은 크기', '방울 토마토', '우유', '레몬즙', '마요네즈', '사워크림', '다진 마늘', '화이트 와인', '파슬리', '소금']"
살구자두잼,"[수제잼] ""살구자두잼""?!""자두살구잼""♪","['자두', '살구', '자일로스설탕(과일양의 70%)', '레몬즙']"
닭가슴살샐러드파스타,닭가슴살 샐러드 파스타,"['닭가슴살', '펜네', '양상추', '과일', '파마산치즈가루', '올리브오일', '발사믹식초', '간장', '설탕', '레몬즙', '다진양파']"
고구마사과잼,"고구마사과잼:호박고구마, 가을사과, 그리고 시나몬","['삶은 고구마', '손질 사과', '유기 원당', '계피 설탕', '올리고당', '레몬즙']"
단호박샐러드그라탕,:: 단호박샐러드 그라탕 ::,"['식빵', '단호박맛', '모짜렐라치즈', '파슬리가루']"
딸기잼머핀,딸기잼 초코 머핀 만들기 / 딸기잼과 화이트초콜릿으로 쉽게 만들어보아요~^^,"['박력분', '딸기잼', '설탕', '녹인버터', '화이트초콜릿', '우유', '베이킹파우더', '계란']"
돈가스베이글샌드위치,돈가스 베이글 샌드위치 ,"['베이글', '돈가스', '양상추', '토마토', '오이피클', '슬라이스 치즈', '마요네즈', '참깨소스', '핫소스']"
에그감자샐러드샌드위치,구황작물 감자를 활용한 '에그감자샐러드 샌드위치' 만들기,"['감자', '계란', '슬라이스햄', '식빵', '버터', '소금', '후추', '마요네즈', '허니머스터드', '치즈', '잼']"
크림치즈연어샐러드,크림치즈 연어 샐러드와 소이 올리브 드레싱,"['크림치즈', '피망', '홍피망', '노란파프리카', '양파', '어린채소', '훈제연어', '로즈마리', '크림치즈', '다진 피망', '다진 홍피망', '파프리카', '설탕', '양조간장', '올리브 오일', '레몬주스', '설탕', '꿀']"
우유수박화채,더운여름 인생술집 우유수박화채 만들기,"['수박', '후르츠칵테일', '블루베리', '우유', '얼음', '꿀(설탕)']"
카라멜바나나파운드케이크,카라멜 바나나 파운드 케이크,"['버터', '비정제 설탕', '노른자', '카라멜 소스', '박력분', '강력분', '아몬드 가루', '베이킹 파우더', '바나나', '토핑용 바나나']"
구운닭가슴살샐러드,구운 알감자 샐러드,"['알감자', '자색고구마', '올리브유', '소금', '후추', '로즈메리', '메이플시럽']"
사과채연어샐러드,사과소스를 곁들인 사과채연어샐러드♡,"['사과', '양파', '생연어', '파프리카 두가지색', '무순', '양상추', '치커리', '당근', '날치알', '사과', '간장', '올리브유', '올리고당', '설탕', '다진마늘', '레몬즙', '참깨', '후추', '발사믹드레싱']"
매실청불고기,매실청 불고기,"['불고기용소고기', '양파', '실파', '홍고추', '매실청', '진간장', '갈색설탕', '참기름', '다진마늘', '후추']"
민트초코케이크,민트초코X3 트리플 민트초코케이크 ♥,"['달걀', '설탕', '박력분', '코코아파우더', '녹인 버터', '식용민트 오일', '다크초콜릿 커버춰', '생크림', '식용민트 오일', '생크림', '설탕', '다진민트 초콜릿', '오레오 부순 것', '생크림', '설탕', '식용민트 오일', '식용색소', '민트 시럽', '오레오', '민트 초콜릿']"
채소과일샐러드,채소과일샐러드,"['집에있는과일과야채', '땅콩분태', '플레인요거트']"
레드키위잼,레드키위잼~새콤달콤 너무 맛나넹,"['레드 키위', '설탕', '소금']"
체다치즈케이크,체다치즈케이크,"['체다슬라이스치즈', '우유', '계란', '버터', '옥수수전분', '박력분', '설탕']"
대추단호박케이크,엄마사랑간식 대추단호박 케이크 ,"['밀가루박력분', '베이킹파우다', '베이킹소다', '해바라기씨유', '유정란 계란', '우유', '단호박', '대추(슬라이스)', '계피가루', '설탕']"
미니유자파운드케이크,미니 유자파운드케이크 만들기,"['무염버터', '설탕', '유자청', '계란', '박력분', '소금', '베이킹파우더', '레몬즙', '바닐라익스트랙']"
무청시래기들깨볶음,무청시래기들깨볶음,"['건 무청시래기', '표고버섯 블럭', '홍고추', '된장', '다진마늘', '들기름', '멸치육수', '들깨가루']"
새송이청경채볶음,새송이 청경채 볶음,"['새송이 버섯', '청경채', '양파', '마늘', '소금', '후추', '생강가루', '통깨', '참기름']"
생크림초콜릿케이크,부드러운 생크림 초콜릿 케이크,"['박력분', '버터', '설탕', '달걀', '생크림', '베이킹파우더', '베이킹소다', '소금', '코팅용버터']"
오렌지초코케이크,오렌지 초코 케이크 만들기,"['박력분', '옥수수전분', '달걀 작은거', '베이킹파우더', '오렌지껍질', '다크초코렛', '버터', '설탕', '오렌지오일', '오렌지즙']"
홍시스무디,홍시스무디,"['아이스홍시', '플레인요거트', '꿀']"
미나리해독주스,해독주스 만들기 해독주스 레시피,"['당근', '브로콜리', '양배추', '토마토', '물', '사과', '바나나']"
닭가슴살양배추샌드위치,양배추샌드위치~~누마상샌드위치라 불리는 양배추듬뿍 들어간 양배추샌드위치...,"['양배추 채썬것', '당근 중간사이즈']"
감자고구마계란샌드위치,간식 - 감자고구마계란 샌드위치,"['감자', '고구마', '계란', '식빵']"
