name,food_name,ingredients
냉단호박죽,단호박우유& 냉단호박죽 만들기,"['단호박', '우유', '단호박', '우유']"
취나물비빔밥," 취나물 비빔밥, 제철 나물이 몸에 좋다.","['취나물', '밥', '당근', '계란', '파', '마늘', '고추장', '깨소금', '들기름']"
달걀토스트식빵피자,달걀토스트 식빵피자,"['식빵', '달걀', '슬라이스치즈', '양파', '청피망', '후춧가루', '카놀라유', '파슬리가루', '토마토소스']"
딸기크림치즈컵케이크,사르르르~ [노오븐] 딸기 크림치즈 컵케이크 ,"['빵', '딸기', '슈가파우더', '코코아파우더', '달걀 노른자', '크림치즈', '생크림', '설탕']"
마시멜로초콜릿케이크,마시멜로 초콜릿 케이크 만들기 (+영상)｜효썸,"['달걀', '설탕', '바닐라익스트랙', '다크 초콜릿', '박력분', '코코아파우더', '베이킹파우더', '무염버터', '초콜릿', '마시멜로우', '초콜릿']"
치즈고구마호떡,치즈 고구마 호떡 만들기. 밀가루 없이 만드는 호떡,"['고구마', '피자치즈', '설탕', '소금', '전분', '오일']"
산딸기치즈케이크,산딸기 치즈케이크,"['크림치즈', '플레인 요구르트', '설탕', '레몬즙', '박력분', '파마산 치즈가루', '달걀', '산딸기']"
감자옥수수전,감자옥수수전 만드는법 - 딸에게#,"['\u200b 두백 감자', '옥수수', '빨강파프리카', '초록파프리카', '청양고추']"
오이단호박샐러드,단호박샐러드-부드럽고 고소한 단호박 샐러드 만들기~!,"['단호박', '아몬드', '잣', '꿀', '마요네즈', '우유', '플레인치즈', '계피가루']"
호박견과류강정,호박견과류강정,"['호박', '슬라이스아몬드', '호박씨', '해바라기씨', '통깨', '통밀가루', '소금', '통밀가루', '물', '간장', '기름', '물엿', '참기름']"
참치야채비빔밥,참치야채비빔밥,"['참치캔', '상추', '깻잎', '양파', '당근', '청량고추', '시판 초고추장', '고추가루 듬뿍', '설탕', '2배식초', '매실', '다진마늘']"
김치햄주먹밥,후리가케 김치햄 주먹밥,"['밥', '묵은지', '후리가케', '슬라이스햄', '간장', '참기름', '소금', '후추', '허니머스타드', '토마토케첩']"
소시지치즈김밥,김밥 - 소시지 치즈김밥,"['밥', '김밥용 김', '소시지', '짧은 소시지', '체다 슬라이스 치즈', '깻잎', '소금', '참기름', '통깨']"
소떡강정,소떡강정 만드는 법 소떡소떡보다 만들기 쉬운 소떡강정레시피,"['비엔나소세지', '떡볶이떡', '식용유', '통깨', '고추장', '간장', '다진마늘', '설탕', '올리고당', '케첩']"
유자인절미,"인절미 빙수,인절미 토스트, 인절미 만들기(with 그릇이랑)",[]
설렁탕계란죽,초간단 영양만점 설렁탕 계란죽~,"['찬밥(2개)', '계란', '조미김', '시판용 설렁탕 포장팩', '물', '소금', '들기름', '검정깨', '후추가루']"
오리주물럭누드김밥,아이들이 쌈을 안먹는다면? 오리주물럭 누드 김밥!,"['흙애서 쌀', '흙애서 현미찹쌀', '참기름', '소금', '갖가지 채소', '오리 주물럭', '김밥 김', '상추', '깻잎']"
오이크래미유부초밥,오이크래미유부초밥 레시피,"['시판유부', '크래미', '오이', '공기밥', '마요네즈', '설탕', '와사비', '후추', '통깨']"
인절미치즈샌드위치,인절미 치즈 샌드위치,"['인절미', '식빵', '모짜렐라치즈', '파슬리가루']"
닭가슴살고추참치볶음밥,닭가슴살 고추참치 볶음밥 레시피 다이어트 식단,"['잡곡밥', '닭가슴살', '파프리카', '슬라이스 아몬드', '김가루', '고추참치', '날치알', '들기름', '통깨', '올리브유']"
소고기짜장밥,소고기 짜장밥 ,"['짜장가루', '다진소고기', '감자(중)', '양파', '양배추', '당근', '통조림 옥수수', '밥', '짜장가루', '다진마늘', '다진파', '설탕', '생수', '후춧가루', '청주']"
건포도오트밀쿠키, 건포도 오트밀 쿠키 만들기,"['밀가루중력분', '통밀가루', '베이킹파우더', '계피가루', '오트밀', '건포도', '소금', '설탕', '흑설탕', '버터', '달걀', '바닐라오일']"
시래기국물떡볶이,시래기나물볶음 무청시래기나물 시래기볶음 만들기 ,"['말린 시래기', '국간장', '진간장', '참치액', '물엿', '맛술', '들기름', '들깨가루', '참기름', '참깨', '다진마늘', '다진대파', '멸치육수', '소금']"
치즈식빵샌드,땅콩 크림치즈 샌드 만들기 땅콩버터 크림치즈 샌드,"['식빵', '크림치즈', '땅콩버터', '설탕', '땅콩분태']"
너비아니궁중떡볶이,너비아니 궁중떡볶이,"['너비아니', '조랭이떡', '표고버섯', '당근', '청피망', '양파', '맛밤', '흑임자', '간장', '참기름', '카놀라유', '간장', '물', '설탕', '다진마늘', '참기름', '간장', '설탕', '참기름']"
둥근당면쌀어묵떡볶이,둥근당면 쌀어묵떡볶이!,"['당면', '어묵', '떡국떡', '소세지', '대파', '올리브유', '고추장', '고추가루', '국간장', '소금', '설탕', '참기름', '통깨']"
옥수수식빵롤,옥수수식빵롤,"['식빵(미니)', '토마토', '옥수수', '소금', '후추', '마요네즈']"
로투스브라우니치즈케이크, 로투스 브라우니 치즈 케이크,"['다크 초콜릿', '버터', '설탕', '계란', '소금', '박력분', '코코아 파우더', '크림치즈', '생크림', '계란', '박력분', '바닐라 익스트랙', '로투스 과자']"
중국식계란볶음밥,초간단 중국식 계란볶음밥,"['밥', '계란', '다진쪽파', '소금', '후추']"
연어샐러드오니기리,<연어샐러드 오니기리> 연어통조림캔으로 만든 일본식 주먹밥,"['갓 지은 밥', '깻잎', '계란', '크래미', '김밥용 김', '동원알래스카 연어통살 135g', '양파', '오이', '당근', '마요네즈', '허니머스타드', '식초', '소금', '후추', '참기름', '통깨', '검은깨', '소금']"
어묵참치김밥,김밥 어묵 간장 양념으로 만든 어묵 참치김밥,"['밥', '계란', '김밥김', '김밥 햄', '맛살', '단무지', '우엉', '사각어묵', '당근', '깻잎', '참치캔', '마요네즈', '참기름', '통깨', '소금', '간장', '올리고당']"
치킨치즈떡볶이,치킨 치즈 떡볶이 ,"['닭봉', '당근', '양파', '양배추', '청양고추', '미니새송이버섯', '떡볶이 떡', '체다치즈', '모짜렐라치즈', '원당', '미향', '다진마늘', '고추장', '후춧가루', '생강가루', '간장', '카레가루', '식용유', '참기름']"
복분자약식,복분자약식,"['찹쌀', '건포도', '대추', '밤', '해바라기씨', '참기름', '포도씨유', '간장', '계피가루', '설탕', '복분자즙']"
김치치즈호떡,김치 치즈 호떡,"['백설찹쌀호떡믹스', '물', '김치', '모짜렐라피자치즈', '백설요리유']"
밤호박영양밥,밤호박영양밥 만드는법,"['밤호박', '호두', '아몬드', '케슈넛', '헤이즐넛', '블루베리', '현미밥']"
두부땡초김밥,햄 대신 두부와 땡초를 넣은 두부땡초김밥 ♥,"['두부', '청양고추', '데리야끼소스', '마요네즈', '김밥용 김', '밥', '소금', '후추', '참기름', '소금', '통깨']"
식빵러스크크림샌드,에어프라이어로 만드는 식빵 러스크 크림샌드 레시피,"['우유식빵', '헤이즐넛 크림', '크림치즈', '피넛버터', '딸기잼', '버터', '식빵 테두리', '식용유', '설탕']"
딸기크림치즈케이크,오븐없이 만드는 [딸기크림치즈케이크],"['크림치즈', '설탕', '생크림', '딸기', '오레오쿠키']"
크랜베리아몬드쿠키,크랜베리 아몬드쿠키,"['버터', '비정제황설탕', '소금', '우유', '우리밀 중력분', '아몬드가루', '베이킹파우더', '건크랜베리', '럼주', '통아몬드', '피칸', '반죽을 굴려줄 설탕']"
블루베리오트밀팬케이크,블루베리오트밀팬케이크 노밀가루 노오일 노설탕 건강한 브런치,"['바나나', '계란', '바닐라에센스', '오트밀', '오트밀 가루', '블루베리', '메이플시럽', '플레인요구르트', '과일']"
카레볶음밥브리또,카레치즈 브리또,"['또띠아', '오이', '밥', '카레', '모짜렐라']"
크림치즈감자샐러드,크림치즈감자샐러드-마요네즈 대신 크림치즈로..,"['감자', '오이', '당근', '크림치즈', '버터', '우유', '설탕', '소금']"
깍두기베이컨볶음밥,깍두기베이컨볶음밥,"['마가린', '식용유', '대파', '다진 깍두기', '베이컨', '햇반', '고추가루', '다진마늘', '고추장', '후추', '깨', '계란', '김']"
가지마파두부덮밥,가지마파두부덮밥,"['가지', '두부', '갈은 돼지고기', '대파', '양파', '마늘', '굴소스', '고추가루', '포도씨유', '물', '참기름']"
메추리알떡갈비구이,떡갈비 갈비가 아닌 떡볶이떡을 품은 떡갈비,"['소고기', '돼지고기', '떡볶이떡', '사과', '배', '대파', '마늘', '생강', '맛술', '아마씨', '검은깨']"
오렌지초콜릿파운드케이크,오렌지 초콜릿 파운드 케이크,"['버터', '설탕', '계란', '아몬드가루', '오렌지술', '오렌지껍질', '박력분', '베이킹파우더', '코코아파우더', '박력분', '살구쨈', '장식용 피스타치오']"
건포도모카머핀,모카향가득~/건포도 모카머핀 ,"['박력분', '설탕', '버터', '계란', '우유', '커피가루', '베이킹파우더', '건포도']"
레몬치즈케이크,레몬치즈케이크,"['크림치즈', '생크림', '플레인요구르트', '계란', '레몬', '레몬즙', '박력분', '설탕']"
바지락치즈떡볶이,#3층치즈 #치즈오픈떡볶이만들기 #치즈떡볶이 #두터운 치즈와 매콤한 떡볶이만남!,"['떡볶이떡', '어묵', '쫄면', '3층 치즈', '삶은달걀', '고추장', '고춧가루', '양조간장', '물엿', '다진마늘', '썬 파', '해물육수']"
브라우니팥빙수,브라우니 팥빙수 ,"['브라우니', '우유얼음', '팥', '블루베리', '슬라이스아몬드', '연유']"
골뱅이샐러드파스타,골뱅이 샐러드 파스타 만드는 법 골뱅이도 예쁘게 먹어요.,"['골뱅이', '푸실리', '방울토마토', '블랙 올리브', '노란 파프리카', '오이', '소금', '올리브오일', '레지아노 블럭 치즈', '올리브오일', '간장', '식초', '올리고당', '다진 양파', '볶은참깨', '파슬리가루']"
밤호박옥수수튀김,바사삭 달달함의 극강 튀김! 밤호박옥수수튀김,"['밤호박', '옥수수캔', '튀김가루', '전분', '식용유', '물']"
인삼김치죽,인삼김치죽,"['인삼', '불린 쌀', '김치', '김가루', '참기름', '소금', '깨']"
초코바스크치즈케이크,Creamy~ 초코 바스크치즈케이크♡,"['크림치즈', '설탕', '생크림', '달걀', '소금', '다크커버춰 초콜릿', '전분가루', '레몬즙', '높은 원형틀', '유산지']"
닭안심대추참깨잣죽,중기이유식 닭안심대추참깨잣죽,"['쌀', '닭 안심', '대추', '참깨', '잣']"
감자식빵피자,아이간식 감자식빵피자,"['식빵', '알감자', '올리브유', '토마토소스', '달걀', '소금', '후추', '빨강 파프리카 다진 것', '노랑 파프리카 다진 것', '피자치즈', '파슬리가루']"
인절미치즈호떡,고소함과 또 다른 맛의 고소함! 인절미치즈호떡 ♥,"['호떡믹스', '이스트', '따뜻한물', '모짜렐라치즈', '콩가루(콩고물)']"
황태김치죽,간단한 해장으로 최고인 황태김치죽,"['밥', '물', '황태채', '김치', '계란', '참치액', '파']"
밥솥전복죽,초간단 압력밥솥 전복죽 만드는 법~~,"['전복', '쌀', '표고버섯', '물', '소금', '깨소금', '김가루']"
제육어묵김밥,매콤달콤 제육어묵 김밥,"['김밥', '단무지', '맛살', '시금치', '계란', '간장', '고추장', '올리고당', '매실액', '다진마늘', '청양고추', '간장', '올리고당']"
어묵식빵핫도그,어묵식빵 핫도그 만들기,"['가마보꼬오징어', '식빵', '허니머스타드', '기름', '파슬리가루']"
크래미날치알유부초밥,날치알 요리~ 날치알 유부초밥 만들기,"['시판 조미 유부', '밥', '김밥용 조미 우엉', '오이', '당근', '날치알', '시판 유부 소스']"
게맛살옥수수전,게맛살 옥수수전,"['게맛살', '옥수수', '고추', '물', '부침가루', '달걀', '소금', '후춧가루']"
모짜렐라치즈김치볶음밥,모짜렐라 치즈 김치 볶음밥,"['김치', '밥', '모짜렐라치즈', '김치국물', '고추장', '들기름']"
구운닭가슴살샐러드,구운 또띠아 샐러드 만들기 ,"['또띠아', '버터', '방울토마토', '브로콜리', '단호박', '달걀', '시판 그린키위 샐러드 소스']"
치킨콥샐러드,로스트치킨 콥샐러드,"['고메 치킨 박스로스트', '그린샐러드', '아보카도', '불린 병아리콩', '노랑파프리카', '홍파프리카', '오이', '삶은계란', '래디쉬', 'CJ 요거트 드레싱']"
어묵떡꼬치떡볶이,어묵 떡꼬치 떡볶이 - 떡꼬치 양념 레시피,"['떡볶이떡', '사각어묵', '식용유', '고추장', '케첩', '꿀', '올리고당', '간장']"
사과양배추샐러드,사과양배추샐러드,"['양배추', '사과', '오이', '베이비채소', '갈은 양파', '올리브유', '소금', '후추', '플레인요거트', '바질', '레몬즙', '소금']"
호두버터쿠키,호두쿠키,"['달걀', '호두', '박력분', '버터', '황설탕', '소금']"
잉글리시머핀떡갈비샌드위치,잉글리시머핀 떡갈비샌드위치,"['잉글리시머핀', '떡갈비', '슬라이스치즈', '오이피클', '상추', '허니머스타드']"
누들로제떡볶이,누들 로제 떡볶이 만들기 (황금비율양념장),"['누들 떡', '긴 소세지', '생크림', '물', '양파', '새송이', '고추장', '고춧가루', '간장', '올리고당', '설탕', '마늘']"
팝콘치킨떡강정,팝콘치킨 떡강정~~치킨과 떡의 만남..,"['닭가슴살', '가래떡']"
봄나물스팸볶음밥,봄나물 스팸 볶음밥 / 오늘도 고생한 나에게#8 [ 심야레시피 ],"['(다진)냉이', '(다진)달래', '(다진)미나리', '(다진)스팸', '밥', '계란', '참기름', '진간장']"
순두부동죽조개탕,순두부동죽조개탕,"['동죽조개', '순두부', '옥수수티백차', '마늘', '까나리액젓', '홍고추', '청양고추', '대파', '물']"
새송이떡갈비,"다이어트 식단 새송이버섯 요리, 새송이떡갈비 만들기","['다진소고기', '다진돼지고기', '새송이버섯 기둥', '다진마늘']"
바나나생크림컵케이크,cj#초간단 바나나생크림 컵케이크,"['cj제일제당 백설 바나나컵케익', '생크림 (휘핑되어 파는것 한통이나 직접휘핑)', '미니 바나나', '토핑건과일']"
삼각김밥볶음밥,"미니 핫도그, 계란 주먹밥, 볶음밥을 품은! 계란말이 만들기","['핫케이크가루', '줄줄이소시지', '물', '계란', '도시락', '김밥등을싸고남은재료들', '오이남은것', '파프리카', '햄', '게맛살', '당근', '파프리카', '오이', '햄', '양파', '밥', '캐첩', '칠리소스']"
삼겹살콩나물밥,오늘뭐먹지:삼겹살콩나물밥,"['쌀', '콩나물', '삼겹살', '대파', '국간장', '진간장', '후추', '깨', '고추가루', '다진마늘', '참기름', '소금']"
자색고구마빵,"자색고구마빵 만들기, 쫀득하고 달콤한 레시피","['파인 소프트t', '파인 소프트', '중력분', '소금', '버터', '해바라기유', '물엿', '계란', '우유', '찐고구마', '백앙금']"
리코타치즈팬케이크,리코타치즈 팬케이크 ,"['리코타치즈', '우유', '달걀', '핫케이크가루', '버터', '한라봉', '슈가파우더']"
인절미만두피호떡,편스토랑 심지호 인절미 만두피 호떡,"['만두피', '견과류 믹스', '크랜베리', '인절미', '꿀']"
견과류두부강정,두부강정 - 견과류두부강정,"['두부', '감자전분', '아몬드', '간장', '설탕', '올리고당', '식초', '물']"
곶감호두약밥,곶감호두약밥,"['찹쌀', '곶감', '국산 호두', '황설탕', '물', '국간장', '진간장', '참기름', '계핏가루']"
두부야채비빔밥,다이어트 비빔밥 만들기 : 두부 야채 비빔밥 ,"['두부', '당근', '양파', '표고버섯', '샐러드 야채', '소금']"
코코넛단팥빵,코코넛 단팥빵,"['강력분', '박력분', '비정제 설탕', '소금', '달걀', '우유', '인스턴트 드라이 이스트', '무염 버터', '팥앙금', '옥수수 전분', '흰자', '버터', '비정제 설탕', '코코넛 가루']"
카야치즈마늘빵,카야치즈 마늘빵,"['식빵', '3층카야 치즈', '발효 버터', '다진마늘', '꿀', '파슬리가루']"
계란마늘볶음밥,담백한 마늘종 계란볶음밥,"['마늘쫑', '베이컨', '계란', '밥', '굴소스', '후추']"
마늘새우볶음밥,마늘 새우 볶음밥,"['밥', '달걀', '칵테일새우', '마늘', '굴소스', '기름', '통깨', '맛술', '들기름', '토마토케첩']"
치킨마요삼각김밥,[가와지1호] 어제 남은 치킨으로 만든~!! 치킨마요 삼각김밥,"['가와지1호로 지은 밥', '삼각김밥용 김', '양파', '치킨', '마요네즈', '데리야끼소스', '참기름', '소금']"
고구마핫케이크찐빵,고구마 핫케이크 찐빵 ,"['핫케이크 가루', '달걀', '우유', '포도씨유', '고구마']"
굴야채죽,굴 야채죽,"['굴', '찹쌀', '당근', '애호박', '소금', '참기름']"
요거트초코머핀,[요거트 초코 머핀] 요,"['박력분', '코코아 가루', '베이킹 파우더', '설탕', '달걀', '버터', '플레인 요거트(플레인 요구르트)']"
단호박꿀호떡,간식으로 좋은 찰단호박꿀호떡 탄생,"['식용유', '단호박믹스', '찰믹스', '찬물', '꿀믹스 1봉', '통깨', '이스트 2봉']"
두유초코칩머핀,두유초코칩머핀 ,"['두유', '카놀라유', '레몬즙', '설탕', '소금', '박력분', '코코아가루', '베이킹파우더', '베이킹소다', '전분', '초코칩']"
오디잼버터쿠키,오디잼버터쿠키/백련초버터쿠키 만들기,"['박력분', '버터', '설탕', '계란', '바닐라오일', '소금', '청크초콜릿', '오디잼', '백련초가루']"
카프레제파스타샐러드,밥솥으로 페스토 카프레제 파스타샐러드 만들기,"['마카로니', '토마토', '모짜렐라치즈', '소금', '마카로니용 올리브유', '물', '페스토', '다진마늘', '오레가노', '후추', '올리브오일', '식초']"
베이컨햄야채볶음밥,한그릇 뚝딱 햇반으로 볶음밥 만들기 즉석밥으로 베이컨 햄야채 볶음밥 만드는 방법,"['즉석밥', '브로컬리', '소세지', '베이컨', '버섯', '마늘', '대파', '굴소스', '간장', '후추']"
들깨크림떡볶이,생크림없이 만든...고소한~ 들깨 크림떡볶이,"['절편 한줄', '우유', '들깨가루', '참기름', '식용유', '대파', '양파', '마늘', '당근', '청양고추', '소금']"
캐러멜피넛버터초코쿠키,캐러멜 피넛버터 초코쿠키 만들기(+영상)｜효썸,"['무염버터', '땅콩버터', '백설탕', '황설탕', '소금', '달걀', '바닐라 익스트랙', '중력분', '코코아파우더', '베이킹소다', '호두', '초코칩', '밀크 캐러멜']"
고구마찹쌀호떡,고구마찹쌀호떡,"['고구마', '찹쌀가루', '땅콩', '흑설탕']"
초벌부추비빔밥,사위도 안 준다는 초벌부추 비빔밥,"['부추', '액젓', '고춧가루', '밥', '깨소금', '참기름']"
마늘종마늘빵,"마늘종으로 만든 마늘빵 맛보셔요~ 마늘빵, 마늘종 마늘빵","['식빵', '마늘', '마늘쫑', '버터', '설탕']"
쑥인절미마들렌,"[NO밀가루] 쌀가루를 넣은, 고소한 쑥 인절미 마들렌","['실온 달걀', '설탕', '꿀', '박력 쌀가루', '쑥가루', '베이킹 파우더', '녹인 무염버터', '우유', '콩가루']"
냉이두부샐러드,봄향기 가득한 냉이두부샐러드,"['두부', '냉이', '홍고추', '청고추', '간장', '레몬즙(식초)', '올리고당', '고추가루', '참깨', '참기름']"
