name,food_name,ingredients
김치오삼불고기,김치 불고기 롤 만들기 ,[]
커리치킨샐러드,커리치킨샐러드,"['훈제닭가슴살', '로메인', '라디치오', '루꼴라', '마요네즈', '플레인요거트', '생크림', '카레여왕', '구운마늘', '구운양파', '꿀', '소금', '후추', '피스타치오']"
양배추두부구이,[양배추 구이] 양배추 스테이크 만들기,"['양배추 2cm두께', '올리브유', '버터', '소금', '후추', '바질', '파프리카가루', '파슬리가루', '양파', '대파 잎부분', '노란파프리카', '방울토마토', '새송이버섯', '마늘', '소금', '후추', '간장', '굴소스']"
반건조오징어덮밥,반건조 오징어 덮밥,"['반건조오징어', '양파', '양배추', '기름', '홍고추', '청고추', '대파', '밥', '물', '고추가루', '간장', '맛술', '물엿', '들기름', '통깨', '다진마늘']"
닭가슴살콥샐러드,콥샐러드,"['닭가슴살', '옥수수캔', '방울토마토', '아보카도', '청상추', '계란', '노란파프리카', '리코타치즈', '체다샐러드용치즈', '발사믹소스', '올리브오일', '올리고당', '다진양파', '레몬즙']"
전복가지덮밥,전복 가지덮밥 만들기,"['밥', '가지', '전복', '쪽파', '통깨', '버터', '물', '다시마', '간장', '맛술', '올리고당']"
야채훈제오리볶음,딱지와 함께하는 요리교실- 다이어트에도 좋은 \'야채 훈제오리볶음\',"['재료: 오리훈제', '파프리카', '양파', '소금', '후추']"
바싹불고기김치볶음밥,바싹불고기김치볶음밥 (맛집에서 먹는 볶음밥처럼 맛내기),"['바싹 불고기', '김치', '밥', '식용유', '참기름', '통깨']"
갈비만두전골,만두요리 만두전골 / 얼큰만두전골,"['만두', '두부', '청경채', '콩나물', '표고버섯', '대파', '고춧가루', '국간장', '다진마늘', '후추']"
큐브스테이크덮밥,큐브 스테이크덮밥 만들기,"['소고기', '숙주', '꼬들 단무지', '양파', '어린잎채소', '쪽파', '통마늘', '와사비', '밥', '스테이크 소스', '레드와인', '버터', '후춧가루', '간장', '맛술', '물', '설탕', '후추', '다시마', '다진 마늘', '생강가루']"
단호박샐러드빵,단호박 샐러드 빵과 함께 브런치로~,"['단호박', '플레인요거트', '크랜베리', '슬라이스아몬드', '꿀']"
떡갈비토스트,떡갈비토스트,"['식빵', '냉동떡갈비', '계란', '양배추', '당근', '토마토', '상추', '마가린', '설탕', '케첩', '마요네즈', '갈릭소스', '깨소금', '후추']"
돼지등뼈시래기감자탕,돼지등뼈 시래기 감자탕 끓이는 법 뼈다귀 해장국 만들기 간단 레시피,"['돼지등뼈', '무청', '된장', '국간장', '고춧가루', '물', '다진 마늘', '대파', '청양고추', '후추']"
사과채연어샐러드,사과소스를 곁들인 사과채연어샐러드♡,"['사과', '양파', '생연어or훈제연어', '파프리카 두가지색', '무순', '양상추', '치커리', '당근or적채', '날치알or케이퍼', '사과', '간장', '올리브유', '올리고당', '설탕', '다진마늘', '레몬즙or식초', '참깨', '후추', '발사믹드레싱']"
매콤스팸마요덮밥,한끼든든한 매콤스팸마요덮밥 만들기,"['달걀', '스팸', '밥', '양파', '대파흰부분', '청양고추', '다진마늘', '마요네즈', '김가루', '참기름', '맛소금', '식용유', '매운고추장', '케첩', '진간장']"
마늘소고기덮밥,마늘 소고기 덮밥 ,"['밥', '소고기채끝', '마늘', '메추리알', '양파', '스테이크소스', '케찹', '굴소스', '물']"
곤약스테이크샐러드,곤약 맛있게 먹는 2가지! 곤약스테이크샐러드 & 곤약닭꼬치 ,"['곤약', '닭다리살', '대파', '식초', '소금', '후추', '식용유', '진간장', '설탕', '맛술', '올리고당', '곤약', '표고버섯', '양송이버섯', '맛타리버섯', '샐러드 채소', '올리브유', '식초', '간장', '맛술', '올리고당', '올리브유', '발사믹식초', '꿀', '소금', '후추']"
얼갈이돼지등뼈감자탕,저렴하면서도 푸짐하게 먹을수있는 얼갈이 돼지등뼈감자탕~,"['돼지등뼈', '얼갈이', '청양고추', '말린 파뿌리', '월계수잎', '샐러리(말린것)', '통후추', '감자', '깻잎', '양파', '고추가루', '다진마늘', '생강가루', '후추가루', '생강술']"
간장탕수만두,간장탕수만두,"['만두', '양파', '마늘', '파프리카', '식용유', '고추기름', '간장', '설탕', '식초', '맛술', '물엿', '굴소스', '참기름', '레몬즙', '물', '통깨']"
