name,food_name,ingredients
마라가지덮밥,"마라가지덮밥 레시피, 집에서 만드는 고급 한 그릇 요리!","['하오츠 마라소스', '다진돼지고기', '양파', '다진마늘', '참기름', '부추', '가지', '베트남고추', '소금', '후추']"
표고버섯소고기장조림,표고버섯 소고기장조림 만드는 법 양지 부위 요리,"['소고기 양지', '대파', '양파', '청양고추', '통마늘 한줌', '통후추', '표고버섯', '맛술', '진간장', '올리고당']"
실곤약냉파스타,[식약처] 실곤약냉파스타,"['실곤약', '칵테일새우', '브로콜리', '바질', '레몬즙', '파마산치즈가루', '바질페스토', '마늘오일', '드라이 토마토']"
소시지팽이버섯전,원팬요리/소시지 팽이버섯전,"['팽이버섯', '비엔나소시지', '콘옥수수', '계란', '소금', '밀가루', '후추', '식용유']"
카레달걀장조림,항금알이 내 밥상에 등장?!♥ 카레달걀장조림,"['달걀', '식초', '소금', '물', '진간장', '맛술', '설탕', '물엿', '카레가루', '물']"
전복양송이버섯조림,아기를 위한 전복양송이버섯조림,"['전복', '양송이버섯', '간장', '아가베시럽', '참기름']"
닭가슴살느타리버섯전,닭가슴살 느타리버섯전,"['닭가슴살', '느타리버섯', '부추', '당근', '양파', '부침가루', '계란', '소금', '후추', '마늘', '생강가루', '청주', '물', '식용유']"
애느타리버섯무침,식감좋은 애느타리버섯무침,"['애느타리', '후딱간장소스', '들기름', '깨']"
들깨새송이버섯볶음,쫄깃한 들깨 새송이버섯 볶음,"['말린 새송이버섯', '대파', '죽염 소금', '들깨가루', '마늘', '들기름']"
옥수수참치마요덮밥,톡톡 옥수수 참치 마요 덮밥,"['밥', '계란', '참치', '옥수수', '마요네즈', '데리야끼소스', '소금', '후추', '버터']"
딸기표고버섯탕수육,표고버섯요리 표고버섯튀김 버섯탕수육 탕수육소스/표고버섯탕수육,"['표고버섯', '식용유', '양파', '노란파프리카', '주황파프리카', '빨간파프리카', '간장', '후추', '참기름', '튀김가루', '전분', '식용유', '소금', '검정깨', '찬물', '물', '간장', '굴소스', '식초', '설탕', '전분', '물']"
베이컨바질페스토파스타,내 마음대로 만드는 베이컨 바질 페스토 파스타,"['양파', '통마늘', '다진마늘', '베이컨', '파스타면', '바질페스토', '카놀라유', '소금']"
양파새송이버섯볶음,초간단 자색양파 새송이버섯볶음,"['자색양파', '새송이버섯', '깨', '파프리카', '마늘', '파', '식용유', '허브솔트', '맛소금']"
꽈리고추느타리버섯볶음,꽈리고추 느타리버섯 볶음 ~ 더 향긋하게,"['느타리버섯', '꽈리고추', '양파', '대파', '진간장', '다진마늘', '소금', '통깨', '후추가루']"
칠리가지덮밥,칠리 가지덮밥 [그냥 가지 튀김인 줄 알았죠] ,"['가지', '양파', '대파', '쪽파', '알배추', '전분가루', '물', '소금', '전분가루', '간장', '맛술', '굴소스', '설탕', '고춧가루', '다진마늘', '전분물', '양파', '대파', '물']"
두유버섯들깨탕,고소한 두유버섯들깨탕,"['무첨가 두유', '감자', '생표고 버섯', '두부', '들깨가루', '소금']"
신라면투움바파스타,신라면 투움바 파스타 초간단 라면요리 점심메뉴추천,"['신라면', '우유', '양파', '통마늘', '버터', '체다치즈', '칵테일 새우', '후춧가루']"
닭고기메추리알장조림,닭고기메추리알장조림 ,"['메추리알', '닭가슴살', '양파', '간장', '아가베시럽']"
소고기계란장조림,소고기 계란장조림,"['소고기', '삶은 달걀', '청양고추', '소주', '진간장', '국간장', '흑 설탕', '물엿', '양파', '대파', '파뿌리', '통 마늘', '생강 편', '건고추 (매운)', '통후추', '물']"
깻잎팽이버섯전,초간단 팽이버섯전 /깻잎향이 좋은 깻잎팽이버섯전,"['팽이버섯', '깻잎', '청고추', '당근', '감자전분', '굴소스', '달걀']"
대패삼겹살간장조림,맛있는 대패삼겹살 요리-대패삼겹살 간장볶음,"['대패삼겹살', '대파', '양파', '간장', '굴소스', '맛술', '다진마늘', '올리고당', '후춧가루', '통깨']"
전복새송이버섯조림,졸깃한 꼬마 전복 새송이버섯 조림,"['꼬마 전복', '새송이버섯', '대파', '청양고추', '홍청양고추', '양조간장', '맛술', '참치액', '올리고당', '참기름', '깨']"
콩나물소고기덮밥,10개월 아기 콩나물소고기 덮밥 아기간장 넣어 맛있게,"['다진 소고기', '양파', '당근', '참기름', '콩나물', '아기간장', '멸치육수']"
감자면버섯전골,감자면 버섯전골,"['감자면', '무', '새송이버섯', '표고버섯', '느타리버섯', '미나리', '마른 새우', '대파', '풋고추', '멸치다시육수', '다진 마늘', '국간장', '소금']"
오리고기표고버섯전,오리고기 표고버섯전 만드는 법,"['표고버섯', '계란', '포도씨유', '밀가루', '훈제오리', '참기름', '고춧가루', '간장', '다진파']"
반건조오징어덮밥,반건조 오징어 덮밥,"['반건조오징어', '양파', '양배추', '기름', '홍고추', '청고추', '대파', '밥', '물', '고추가루', '간장', '맛술', '물엿', '들기름', '통깨', '다진마늘']"
메추리알새송이버섯장조림,18분완성 메추리알 새송이버섯 장조림,"['메추리알', '새송이버섯', '꽈리고추', '간장', '물', '맛술', '설탕']"
닭가슴살새송이버섯장조림,닭가슴살새송이버섯장조림 ,"['닭가슴살', '새송이버섯', '간장', '설탕', '매실액', '올리고당', '맛술', '후추', '다시마우린물']"
새송이버섯메추리알장조림,새송이버섯 메추리알 장조림,"['메추리알', '새송이버섯', '깨', '다시마(사방 6센치)', '멸치', '청양고추', '마늘', '물', '다시마물', '간장', '설탕', '맛술', '올리고당', '후추']"
미니돈까스덮밥,미니돈까스덮밥,"['미니 돈까스', '대파나 쪽파', '양파', '계란', '쯔유', '전분가루', '설탕', '물']"
느타리버섯잡채,느타리버섯잡채,"['느타리버섯', '양파', '당근', '부추', '당면', '달걀', '기름', '소금', '후추', '간장', '굴소스', '설탕', '후추', '다진마늘', '깨', '참기름']"
쉬림프로제파스타,쉬림프로제파스타 - 새우가 듬뿍 들어간 부드러운 '쉬림프로제파스타',"['스파게티면', '새우', '양송이버섯', '통마늘', '양파', '페페론치노', '크림소스', '올리브오일', '토마토소스']"
치킨마요덮밥,"치킨마요덮밥 만들기,치킨마요덮밥소스","['남은치킨', '양파', '계란', '양배추', '간장', '다진마늘', '올리고당', '물', '미림']"
양배추연어덮밥,양배추연어덮밥:콩나물장아찌로 더 빛나다,"['밥', '연어캔', '양배추', '양파', '콩나물 장아찌', '계란', '식용유', '소금', '후추']"
버섯불고기메추리알장조림,[버섯불고기메추리알장조림 만드는 법]건강한식 더비비고 버섯불고기로 만든 맛있는 밑반찬,"['더비비고 버섯불고기 덮밥소스 180g', '깐메추리알', '청양고추', '간마늘', '통깨', '물', '간장', '요리당']"
참치마파두부덮밥,참치마파두부덮밥,"['밥', '두부', '참치 캔', '홍고추', '청양고추', '양파', '고추기름', '대파', '녹말물', '물 1컵 양념장 - 두반장', '간장', '생강술', '설탕', '참기름', '소금', '후춧가루']"
베이컨팽이버섯볶음밥,자취생 한 그릇 요리 베이컨 팽이버섯 볶음밥 만드는 법,"['대파', '팽이버섯', '베이컨', '밥', '식용유', '굴소스', '참기름', '볶은참깨', '후춧가루']"
치즈토마토파스타,[식약처] 치즈 토마토 파스타,"['체다슬라이스치즈', '파스타면', '방울토마토', '브로콜리', '새송이버섯', '양파', '마늘', '소고기', '토마토소스', '올리브유', '파마산치즈', '소금', '후추']"
우엉돼지고기장조림,우엉돼지고기장조림!,"['돼지고기안심', '우엉', '청양고추', '진간장', '국간장', '생강술', '올리고당', '설탕', '참기름', '통깨']"
칵테일새우팽이버섯전,"밀가루없이 구워요
부드러운 칵테일새우 팽이버섯전","['칵테일새우', '팽이버섯', '계란', '식용유']"
전복냉파스타,싱싱한 완도 전복으로 특별한 요리 전복 냉파스타 만들기,"['흙애서완도전복', '쯔유', '들기름', '소금', '스파게티면', '전복', '조미김']"
새우버섯구이,새우버섯구이,"['버섯', '새우', '깻잎', '마요네즈', '간장', '다진마늘']"
전복버섯밥,전복버섯밥 황금레시피:전복영양살린 뚝배기밥,"['전복', '불린쌀', '표고버섯', '부추', '참기름']"
해물소고기덮밥,혼밥메뉴 해물소고기덮밥,"['해물믹스', '달걀', '먹다남은 소고기', '양파', '파', '굴소스']"
소고기새송이버섯장조림,소고기 새송이버섯 장조림,"['소고기', '새송이버섯', '대파', '마늘', '생강', '청양고추', '물', '간장', '소주', '매실청']"
토마토푸실리냉파스타,"토마토 푸실리 냉파스타 콜드 파스타 만들기 - 브런치 메뉴, 토마토요리","['통밀 푸실리', '토마토', '양파', '참치캔', '대파', '블랙 올리브', '물', '올리브오일', '발사믹 식초', '꿀', '바질', '파마산치즈', '파슬리가루', '소금', '후추']"
표고버섯소고기덮밥,든든한 한끼 표고버섯 소고기덮밥,"['소고기', '표고버섯', '당근', '양파', '대파', '계란', '마늘', '맛술', '참기름', '진간장', '천일염', '물전분', '물']"
쑥크림고등어파스타,고등어 파스타 ,"['손질고등어', '파스타', '화이트와인', '페페론치노', '대파', '생강술', '소금', '후추', '올리브오일', '마늘']"
굴소스표고버섯볶음,굴소스 표고버섯볶음 레시피,"['표고버섯', '양파', '다진마늘', '식용유', '통깨', '굴소스', '맛술', '참기름', '소금']"
아보카도냉파스타,"아보카도 냉파스타, 손쉬운 아보카도 요리","['스파게티니', '새우(중)', '방울토마토', '건파인애플', '마카다미아', '아보카도', '바질', '시금치', '올리브유', '마카다미아', '물', '소금', '후추']"
달걀버섯덮밥,#한그릇요리#달걀버섯덮밥,"['밥', '달걀', '팽이버섯', '표고버섯', '대파', '양파', '간장', '설탕', '맛술', '물', '후춧가루']"
꽃송이버섯샐러드,꽃송이버섯 샐러드 (손님초대요리),"['꽃송이버섯', '식초', '사과', '맛살', '천혜향', '오이', '해파리냉채소스', '파인애플샐러드소스', '레몬즙', '꿀', '생들깨']"
참나물팽이버섯전,봄의 향기 참나물 팽이버섯전,"['참나물', '팽이버섯', '부침가루', '달걀', '물', '식용유']"
어묵팽이버섯무침,어묵 팽이버섯 무침~,"['사각어묵', '팽이버섯', '당근', '쪽파', '다진마늘', '액젓', '간장', '소금', '통깨', '참기름', '고춧가루']"
소고기표고버섯볶음,소고기표고버섯볶음 만드는 법,"['소고기', '표고버섯', '양파', '청양고추', '다진마늘', '진간장', '참기름']"
양상추소고기덮밥,규동 만들기 - 소고기덮밥 ,"['밥', '쇠고기', '양파', '달걀', '표고버섯', '대파', '후춧가루', '물', '청주', '가쓰오부시장국']"
원팬새우토마토파스타,스파게티면을 새우에 꽂아 만든 원팬 새우토마토파스타 만들기 ♥,"['새우', '스파게티면', '양파', '방울토마토', '토마토소스', '후추', '다진마늘', '물', '올리브유', '파슬리가루']"
