name,food_name,ingredients
데리야끼삼겹살덮밥,삼겹살 냉털요리 데리야끼삼겹살덮밥 한그릇유아식,"['삼겹살', '양파', '버섯', '다진 마늘 또는 편마늘', '밥', '진간장', '설탕', '올리고당', '미림', '물', '후추', '참기름', '다진 마늘']"
우삼겹고추장찌개,먹다 남은 우삼겹으로 끓인 우삼겹 고추장 찌개..,"['대패삼겹', '감자', '애호박', '양파', '대파', '홍고추', '두부', '팽이버섯', '고추장', '된장', '다진마늘', '참치액', '다시다']"
양파카레우동,"초간단, 혼밥 레시피: 양파 카레 우동 만들기","['고형 카레 낱개로', '양파 중간 크기', '식용유', '물', '우동면', '파슬리']"
경양식돈까스소스,"백종원 돈까스, 경양식 돈까스 소스 만들기","['돈까스용 돼지고기등심', '꽃소금', '후춧가루', '밀가루', '달걀', '빵가루', '튀김용 식용유', '물', '식용유', '케첩', '설탕', '밀가루', '진간장', '식초', '후추']"
채끝살스테이크덮밥,"채끝살 스테이크 덮밥 만들기, 스테끼동 소스까지~ 경기미 가와지1호로 더 맛있게","['소고기 스테이크용', '양배추', '양파', '마늘', '쪽파', '버터', '올리브유']"
두부불고기덮밥,두부불고기덮밥 만드는 법,"['소고기불고기용', '참나물', '두부', '통마늘', '식용유', '대파', '소금', '간장', '설탕', '다진마늘', '후추', '참기름', '깨소금', '불고기양념', '미림', '물']"
간장팽이버섯덮밥,간장 팽이버섯 덮밥 ,"['팽이버섯', '진간장', '양파', '굴소스', '꿀', '마진 마늘', '맛술', '물', '달걀', '식용유', '트러플오일', '후추', '밥']"
김치돈까스덮밥,느끼하지않아 맛있는 김치돈까스덮밥,"['돈까스', '양파', '달걀', '대파', '김치', '간장', '술', '가쓰오부시']"
두부참치동그랑땡,두부참치동그랑땡,"['두부', '달걀', '참치', '대파', '당근', '청고추', '홍고추', '부침가루', '식용유', '국간장', '소금', '후춧가루']"
간장콩나물불고기,백종원 간장콩나물불고기 - 간장콩불,"['콩나물', '대패삼겹살', '대파', '맛간장', '설탕']"
콩나물제육덮밥,아삭아삭 맛있는 콩나물제육덮밥 만드는 법,"['쌀', '돼지고기앞다리', '콩나물', '양파', '청양고추', '고추장', '다진마늘', '매실액', '설탕', '간장', '맛술', '고춧가루', '참기름', '후추', '김가루', '깨소금', '쪽파', '소금']"
알배추소고기덮밥,[소고기덮밥] 규동 만들기,"['소고기', '양파', '밥', '대파', '청주', '소금', '간장', '미림', '꿀']"
돼지고기카레덮밥,★돼지고기 카레라이스-도드람 안심★,[]
고추장삼겹살볶음밥,#삼겹살볶음밥 [고추장삼겹살볶음밥],"['삼겹살', '밥', '김치', '고추장', '김가루', '상추 또는 깻잎', '설탕 또는꿀', '버터', '참기름', '계란', '치즈']"
