name,food_name,ingredients
양배추닭가슴살샐러드,양배추닭가슴살 샐러드 포만감 GOOD!! 양배추활용 요리,"['양배추', '청상추', '그린빈', '닭가슴살', '마요네즈', '허니머스터드', '소금', '후추']"
새송이버섯덮밥,새송이버섯덮밥 만들기,"['새송이버섯', '양파', '마늘', '고추', '굴소스']"
김치날치알유부초밥,김치 날치알 유부초밥,"['햇반컵반김치날치알밥', '주부초밥왕유부초밥', '단무지', '어린잎채소']"
단호박에그샌드위치,단호박에그 샌드위치,"['단호박', '계란', '양파', '청상추', '체다 치즈', '방울토마토', '마요네즈', '로메인 곡물식빵', '선인장파우더', '꽃소금']"
달래두부조림,달래두부조림 ,"['두부', '달래', '간장', '마늘', '다시마육수', '참기름', '고춧가루']"
사골곰탕떡만두국,2024년 새해 첫날 사골곰탕 떡만두국,"['사골곰탕', '떡국떡', '냉동만두', '파', '계란', '조미김']"
매콤간짜장라면,짜장라면으로 간짜장만들기! 유재석이 배운 이연복의 간짜장라면 ♥,"['라면', '양파', '스프', '삼겹살', '올리브유']"
대파소고기계란볶음밥,대파소고기계란볶음밥 레시피 ,"['공기밥', '대파', '식용유', '소고기다짐육', '계란', '간장', '굴소스', '통깨']"
만두부대찌개,따끈한 만두부대찌개만들기,"['햄/묵은지 부대찌개', '물만두', '당면', '대파', '물']"
오이감자피자,동양의 피자 오이감자피자,"['감자 중간 큰크기', '오이', '오일', '치즈', '전분가루', '물', '소금', '후추', '마요네즈', '살사소스']"
고구마치즈핫도그,고구마치즈핫도그 - 미니핫도그 만들기 ,"['고구마', '모짜렐라치즈', '전분가루', '설탕', '소금', '햄', '밀가루', '빵가루', '계란물', '식용유']"
베이컨파인애플볶음밥,간단하지만 맛은 특별한 베이컨 파인애플 볶음밥,"['베이컨', '잔파/쪽파', '파인애플', '흰밥', '소금', '후추가루']"
닭가슴살또띠아피자,슬라이스 닭가슴살 또띠아피자~*,"['또띠아', '까망베르치즈', '모짜렐라치즈', '케찹', '슬라이스닭가슴살']"
오픈달걀토스트,TV요리 ) 오픈달걀토스트 넘나 간단하쟈나?,"['식빵', '베이컨', '달걀', '피자치즈', '파슬리 가루']"
가지소고기덮밥,"일본식 소고기 덮밥 규동 만들기, 규동 소스 레시피","['우삼겹', '양파', '대파', '계란 노른자', '혼쯔유', '진간장', '올리고당', '생강가루', '다진마늘']"
마라가지덮밥,"마라가지덮밥 레시피, 맛있는 한 그릇 요리 만들기!","['하오츠 마라소스', '가지', '다진돼지고기', '양파', '청피망', '홍피망', '두부', '전분물', '밥', '쪽파']"
구운오픈토스트,구운 채소 올려 에어프라이어 한 번 더 구운 오픈 토스트,"['바게트', '파프리카', '주키니 호박', '새송이버섯', '가지', '바질 페스토', '발사믹 글레이즈', '모짜렐라 슈레드 치즈', '소금', '통후추', '올리브오일']"
콘치즈스틱,콘치즈스틱,"['피자치즈', '콘옥수수', '마요네즈', '만두피', '식용유']"
