name,food_name,ingredients
소고기애호박죽,"중기이유식, 소고기애호박죽 만들기","['불린쌀', '소고기', '애호박', '소고기육수']"
크래미참치주먹밥,크래미다이어트/ 10분만에 만드는 크래미참치주먹밥 초간단레시피,"['크래미', '참치', '마요네즈', '참기름', '밥', '김가루']"
청양참치마요삼각김밥,청양참치마요 삼각김밥,"['참치', '다진양파', '청양고추', '밥', '삼각김밥 김', '마요네즈', '조미후레이크', '깨', '올리고당', '소금']"
오색송편,[무화과레시피] 빈혈에 좋은 무화과 오색 송편차떡,"['약차물 당귀', '구기자', '황기', '대추', '무화과잼', '설탕', '깨', '계피가루', '소금', '멥쌀가루', '단호박가루', '도토리가루', '백년초가루', '연잎가루']"
미니돈까스덮밥,#가츠동 #냉동가츠동 #가츠동만들기 #계란넣고가츠동올린덮밥 #이렇게까지해야하냐,"['가츠동', '계란', '밥']"
인절미고구마맛탕,어른들의 홀릭할 간식 ! 인절미고구마맛탕 ★,"['고구마', '식용유', '콩가루', '꿀', '슬라이스아몬드']"
송편떡볶이,송편떡볶이-추석때남은송편활용하기~,"['송편', '양파', '대파', '해물동그랑땡', '물', '고추장', '고춧가루', '맛간장', '올리고당', '다진마늘']"
차돌박이즉석떡볶이,차돌박이 즉석떡볶이 이젠 사먹지 마세요:),"['냉동만두', '양파', '양배추', '어묵', '쌀떡', '깻잎', '대파', '차돌박이', '옥수수캔', '김가루', '밥', '참기름', '설탕', '고춧가루', '고추장', '간장', '물', '춘장']"
마요참치꼬마김밥,돌돌말아 한입에 쏙~마요참치 꼬마김밥,"['밥', '김밥용김', '마요참치', '단무지', '오이', '계란', '소금', '참기름', '깨소금']"
아스파라거스베이컨말이주먹밥,아스파라거스 베이컨말이 주먹밥 레시피,"['베이컨', '아스파라거스', '밥', '소금', '후추', '참기름', '달걀', '간장', '맛술', '물', '청주', '물엿', '설탕']"
가지연어덮밥,가지연어덮밥:구운가지와 훈제연어와 초밥과 타르타르소스와(feat.연어를 믿지못하여),"['가지', '소금', '후추', '훈제연어', '어린잎채소', '밥', '매실액', '식초', '소금', '플레인요구르트/마요네즈', '홀스래디쉬소스', '다진양파', '다진오이지', '케이커', '다진연어']"
표고버섯콩나물밥,맛있는 표고버섯 콩나물밥 만들기,"['콩나물', '표고버섯', '대파', '간장', '고춧가루', '참기름', '통깨']"
굴콩나물밥,초간단 한그릇요리 굴콩나물밥,"['불린쌀', '콩나물', '굴']"
데리야키가지덮밥,데리야키 덮밥 ,"['햄', '양파', '식용유', '간장', '물', '설탕', '맛술', '다시마']"
달걀참치마요주먹밥,계란 달걀 참치 마요 주먹밥,"['밥', '삶은 달걀', '참치캔', '파', '마요네즈', '소금', '후추', '물', '식초', '소금']"
닭안심대추참깨잣죽,중기이유식 닭안심대추참깨잣죽,"['쌀', '닭 안심', '대추', '참깨', '잣']"
취나물영양밥버거,경기미 가와지1로호 만든 취나물 영양밥버거& 고추장 매콤밥버거 ,"['경기미 가와지 1호', '데친 취나물', '소금', '맛술', '소고기 불고기용', '상추', '깻잎', '슬라이스 치즈', '계란', '불고기양념장', '마늘', '고추장', '참기름', '데리야끼소스', '소금', '후추', '기름']"
현미전복죽,현미 전복죽 끓이기,"['현미', '쌀', '전복', '소금']"
콩나물키토김밥,다이어트 김밥 콩나물키토김밥 만드는법 다이어트 음식 콩나물 김밥 키토김밥 ,"['콩나물', '계란', '당근', '적양배추', '오이', '단무지', '참기름', '소금']"
소고기깍두기볶음밥,소고기 깍두기볶음밥 만드는법- 딸에게#,"['한우 등심', '알타리', '김치국물', '버터', '올리브유', '밥', '굴소스', '버터', '소금', '후추', '홍고추', '청양고추', '부추', '간장']"
시금치오므라이스,시금치 오므라이스 ,"['시금치', '달걀', '식은밥', '표고버섯', '미니파프리카', '햄', '피자치즈', '소금', '후추', '케찹']"
묵은지삼겹살김밥,묵은지 삼겹살 김밥~*,"['김밥김', '삼겹살', '묵은지', '상추', '통마늘', '청양초', '갈치속젓', '쌈장', '참기름', '소금', '통깨']"
두부밥버거,♥[신혼밥상] 호호 두부 밥버거,"['3층 치즈', '달걀', '두부', '감자', '당근', '양파', '애호박', '대파', '부침가루', '빵가루', '돈가스소스', '케찹', '굴소스', '올리고당', '물']"
