name,food_name,ingredients
오징어볶음밥순대,[오뚜기 맛있는 볶음밥]오징어 볶음밥 순대,"['오뚜기 맛있는 소고기 볶음밥', '오징어', '모짜렐라치즈', '계란', '식용유']"
연어아보카도콥샐러드,연어 아보카도 콥샐러드,"['오뚜기 참깨드레싱', '스위트콘(오뚜기)', '생연어', '아보카도', '양상추', '방울토마토', '블랙 올리브 슬라이스', '삶은 계란', '바게트 빵']"
한방갈비찜,한방 갈비찜,"['돼지갈비', '대파잎', '통후추', '생강', '팔각', '감초', '당귀', '항기', '계피대', '건고추', '밤']"
맛살과일샐러드,쉽게 만들 수 있는 맛살과일샐러드 레시피,"['맛살', '소금', '후추', '사과', '배', '마요네즈', '머스타드소스', '설탕']"
매콤굴짬뽕,굴짬뽕 만들기 ,"['쫄면', '애호박', '양파', '팽이버섯', '풋고추', '깻잎순', '쪽파', '물', '굴', '고추가루', '굴소스', '마늘콩소스', '다진마늘']"
김치불고기덮밥,김치 불고기 만들어서 김치 불고기덮밥 해먹었어요.,"['돼지고기 앞다리살', '양파', '홍고추', '고추장', '고춧가루', '간장', '맛술', '다진 마늘', '매실액', '김치', '식용유', '설탕', '밥', '참기름']"
버터오징어볶음밥,"아이들 점심으로 만든....버터오징어 볶음밥, 오징어버터 볶음밥","['식용유', '버터', '마늘', '양파', '대파', '오징어다리', '허브솔트', '밥', '굴소스', '통깨', '계란후라이']"
관자새우크림파스타,관자 새우 크림 파스타 만들기,"['관자', '새우', '마늘', '양파', '양송이', '청양고추', '페퍼론치노', '생크림', '우유', '\u200b 버터']"
스팸볶음밥그라탕,그릇채 먹는 스팸볶음밥그라탕,"['찬밥', '스팸베이컨', '청 피망', '노랑 파프리카', '빨강 파프리카', '애느타리버섯', '또띠아', '모차렐라치즈', '굴소스', '핫소스', '소금', '파슬리가루']"
백골뱅이알리오올리오파스타,백골뱅이 알리오올리오 파스타 만드는 법,"['파스타면', '마늘', '양파', '시금치', '포도씨오일', '올리브오일', '굴소스', '소금', '후추', '물', '소금']"
대게꽃게찜,대게 꽃게찜 삶는법 손질법과 찌는시간 5-6월 제철 해수산물요리,"['대게', '청주', '물']"
토마토묵은지등갈비찜,토마토 묵은지등갈비찜,"['돼지등갈비', '묵은지', '파김치', '물', '된장', '파뿌리', '통후추', '소주', '토마토', '양파', '간장', '참치액젓', '설탕', '쌈장', '고춧가루']"
토마토닭가슴살샐러드,토마토 닭가슴살 샐러드,"['닭가슴살', '양파', '토마토', '치커리 야채종류', '설탕', '소금', '씨겨자', '다진양파', '식초', '레몬즙', '올리브유', '소금', '후추', '맛술']"
콩나물소고기덮밥,10개월 아기 콩나물소고기 덮밥 아기간장 넣어 맛있게,"['다진 소고기', '양파', '당근', '참기름', '콩나물', '아기간장', '멸치육수']"
리코타치즈토마토샐러드,리코타치즈 토마토 샐러드,"['토마토', '리코타치즈', '발사믹식초', '올리브유']"
머쉬마루버섯깻잎찜,밥도둑 머쉬마루버섯 깻잎찜,"['깻잎순', '머쉬마루 버섯', '잔멸치', '간장', '고추가루', '다진마늘', '다진파', '들기름', '통깨']"
마늘쫑참치볶음밥,마늘종 캔참치 볶음밥:마늘쫑 들어가기 전에 많이 먹어줘야죠,"['마늘쫑', '올리브오일', '당근', '밥', '소금', '참치캔', '양조간장', '들기름 또는 참기름', '통깨']"
두부과일샐러드,두부 과일 샐러드,"['국산콩천일염두부찌개', '딸기', '망고', '키위', '그린비타민', '치커리', '어린잎채소', '버미샐리튀김', '오렌지과육', '백설스위트리자일로스설탕', '레몬즙', '백설오천년의신비명품천일염', '백설견과유']"
베이컨김치볶음밥그라탕,베이컨 김치볶음밥 그라탕 ,"['밥', '베이컨', '김치', '양파', '피자치즈', '미나리', '고추장', '설탕', '참기름']"
치킨로제파스타,#오늘뭐먹지 이제훈쉐프 치킨로제파스타 만들기 #크림이 필요없는 우유만으로 만드는 로제파스타!!!,"['닭가슴살', '베이컨', '편마늘', '대파흰부분', '브라바소스/토마토소스', '우유', '허브가루', '양송이버섯', '후추', '버터', '화이트와인', '파스타면']"
구운닭가슴살샐러드,구운 알감자 샐러드,"['알감자', '자색고구마', '올리브유', '소금', '후추', '로즈메리', '메이플시럽']"
밥새우깻잎찜,밥새우 깻잎찜,"['깻잎', '밥새우', '다시멸치', '국간장', '물', '고춧가루', '쪽파', '다진 마늘', '설탕', '깨소금']"
양배추마카로니샐러드,양배추 마카로니샐러드,"['마카로니', '양배추(대형)', '참치', '마요네즈', '카레가루']"
바지락조개미역국,바지락 조개 미역국,"['자른미역', '바지락조개살', '국간장', '소금', '참기름']"
고추참치김치볶음밥,윤승아 꼬앨밥(고추참치김치볶음밥),"['김치', '고추참치', '스팸햄', '계란', '깨소금']"
삼색참치마요덮밥,요리초보의 간단한 삼색 참치마요 덮밥 만들기,"['양파', '참치캔', '마요네즈', '계란', '밥 본인기준', '식용유', '간장', '올리고당', '물']"
