name,food_name,ingredients
부추오이무침,부추 오이무침~*,"['오이', '부추', '까나리액젓', '간장', '고춧가루', '다진마늘', '깨소금']"
파프리카굴전,연말 홈파티 파프리카굴전 빠지면 서운하죠,"['굴', '부침가루', '달걀', '다진마늘', '소금']"
섬초시금치나물,비타민이 풍부한 섬초(시금치) 된장무침,"['섬초(시금치)', '된장', '다진마늘', '참깨(깨소금)', '굵은소금(천일염)']"
갈릭베이컨볶음밥,어린이 갈릭베이컨볶음밥,"['마늘', '당근', '돼지호박', '베이컨', '포도씨유', '밥 수북히', '소금', '후추']"
마카로니콘샐러드,마카로니콘샐러드,"['마카로니', '캔옥수수', '오이', '사과', '크래미', '파프리카', '마요네즈', '플레인요플레', '허니머스터드', '레몬즙', '후추']"
노각깍두기,노각깍두기 / 오이 쓴맛 없애는법,"['노각 중간 것', '양파', '천일염', '설탕', '대파 흰 부분', '다진마늘', '고춧가루', '올리고당', '다진 새우젓']"
유부계란김밥,유부계란김밥,"['유부', '계란', '맛살', '오이', '단무지', '멸치국물', '간장', '매실청', '청주']"
흑임자고구마맛탕,흑임자 고구마맛탕,"['고구마', '유채유(튀김기름)', '흑임자', '호박씨', '흑설탕', '포도씨유']"
흰콩나물무침,흰콩나물무침과 진한콩나물국!,"['굵은 콩나물', '대파', '청양고추', '무침 소금', '다진마늘', '참기름', '통깨', '간 소금', '국간장']"
마늘쫑장아찌고추장양념무침,마늘쫑장아찌고추장양념무침..,"['마늘쫑장아찌', '고추장', '고추가루', '올리고당', '깨', '참기름']"
시금치버섯된장찌개,시금치버섯 된장찌개 만들기,"['시금치', '버섯', '대파', '물', '된장', '고추장']"
매운콩나물잡채볶음,매운 콩나물 잡채볶음 만드는 법!,"['마른 당면', '콩나물', '파프리카', '목이버섯', '참기름', '후춧가루', '통깨', '고춧가루', '간장', '맛술', '다진 마늘', '올리고당']"
생크림고구마샐러드,생크림고구마샐러드,"['삶은 고구마', '건크랜베리', '생크림(시판용)']"
제육어묵김밥,매콤달콤 제육어묵 김밥,"['김밥', '단무지', '맛살', '시금치', '계란', '간장', '고추장', '올리고당', '매실액', '다진마늘', '청양고추', '간장', '올리고당']"
초벌부추비빔밥,사위도 안 준다는 초벌부추 비빔밥,"['부추', '액젓', '고춧가루', '밥', '깨소금', '참기름']"
즉석오이무침,후딱 무쳐먹는 즉석오이무침 ,"['취청오이 큰 것', '고춧가루', '간장', '다진 마늘', '설탕', '소금', '참기름', '통깨']"
양지수육전골,새해 어복쟁반 만들기 양지수육전골 황금레시피,"['소고기 양지', '알배기 배추', '쑥갓', '대파', '깻잎', '통후추', '마늘', '소금', '국간장', '참치액', '미림', '후추', '진간장', '설탕', '참기름', '후추']"
찰옥수수전,찰옥수수전,"['삶은옥수수', '꽈리고추', '계란', '찹쌀가루', '감자전분', '부침가루', '물']"
감자베이컨볶음밥,감자 베이컨 볶음밥 : 한그릇요리로 딱이야! ,"['베이컨', '감자', '당근', '피망', '새송이버섯', '밥', '소금', '굴소스', '참기름', '통깨']"
묵은지콩나물밥,묵은지 콩나물밥,"['묵은지', '국간장', '진간장', '청양고추', '파', '깨', '다진마늘', '설탕', '올리고당', '고춧가루', '들기름']"
두부봄동된장국,두부 봄동된장국,"['봄동(데친거)', '두부', '대파', '홍고추', '멸치 육수', '된장(집된장)', '된장(시판된장)', '고추가루', '다진마늘']"
훈제오리시금치무침,훈제오리시금치무침(feat.참깨소스):시금치나물을 요리로 만들다,"['훈제오리', '시금치', '굵은소금', '참깨소스', '통깨', '발사믹글레이즈', '마요네즈', '깨소금', '식초', '설탕(올리고당)', '땅콩버터']"
미나리돌솥비빔밥,"입이 건강해지는맛, ""미나리돌솥비빔밥""♪","['밥', '미나리', '무 생채', '참기름']"
무순두부샐러드,무순 계란말이,"['계란', '무순', '김', '소금']"
새송이버섯전복죽,새송이버섯 버터구이 전복맛 나는 새송이관자 만들기,"['새송이버섯', '간장', '맛술', '올리고당', '마늘', '코코넛오일 또는 올리브유', '소금', '후추', '버터']"
꽈리고추콩나물볶음,"꽈리고추콩나물 볶음
도시락반찬","['콩나물', '꽈리고추', '당근', '굵은소금', '참기름']"
삼겹살김치전골,김치전골/김치전골만드는법 ~~,"['두부', '돼지고기 갈은', '김치', '베이컨', '햄', '육수', '소금', '후추', '청주', '양파', '유부', '청양고추', '육수', '국간장', '청주', '맛술', '고추가루', '마늘', '새우가루']"
두부김치콩나물국,국물요리 따끈한 두부 김치콩나물국 레시피,"['멸치', '다시마', '콩나물', '김치', '무', '양파', '파', '두부', '쇠고기다시다', '멸치액젓', '다진마늘', '굵은소금', '물']"
파스타과일샐러드,요구르트 드레싱을 곁들인 파스타 과일샐러드,"['파스타', '바나나', '배', '방울토마토', '치커리', '아몬드', '치즈', '과일', '플레인 요구르트', '마요네즈', '설탕', '소금', '레몬즙', '다진양파']"
양배추마카로니샐러드,양배추 마카로니샐러드,"['마카로니', '양배추(대형)', '참치', '마요네즈', '카레가루']"
대패삼겹살육전,대패삼겹살 요리 / 대패삼겹살 육전 ,"['대패삼겹살', '계란', '소금', '후춧가루']"
갑오징어새싹비빔밥,제철요리)갑오징어새싹비빔밥,"['갑오징어', '새싹채소', '콩나물', '당근', '상추', '고추장', '간장', '꿀', '식초', '마늘', '참기름']"
감자두부김치전,감자 김치전,"['감자', '포기김치', '우리밀', '다시마물', '카놀라유', '간장', '매실액', '물']"
어묵감자조림,어묵감자조림 만들기,"['감자(중)', '어묵', '송송썰은 파', '다진마늘', '진간장', '설탕', '참기름', '통깨', '식용류', '고춧가루', '물']"
토마토파스타샐러드,토마토 파스타샐러드,"['파르펠레', '토마토', '파프리카(노란색)', '생모짜렐라치즈', '양파', '케이퍼', '바질', '올리브', '꿀', '머스터드', '발사믹식초', '올리브유', '소금', '올리브유', '소금', '후춧가루']"
두부감자볶음밥,아기 두부볶음밥 만들기 두부감자볶음밥 담백고소 두부요리,"['밥', '두부', '감자', '대파', '진간장', '참기름', '통깨', '현미유', '소금', '후추']"
건새우해물파전,건새우 해물파전 만드는법 막걸리안주 아이간식야식 전요리메뉴,"['보리새우', '대파', '부침가루', '밀가루', '소금', '물']"
게살카레볶음밥,게살카레볶음밥 황금레시피,"['붉은대게살', '양파', '쪽파', '당근', '통마늘', '대파', '계란', '밥', '올리브유', '소금', '후추', '카레가루', '깨소금']"
방풍나물마늘쫑장아찌,짜지 않아요.방풍나물 마늘쫑 장아찌 ,"['방풍나물', '마늘쫑', '천일염', '청양고추', '양파', '양조간장', '멸치다시마육수', '매실청', '참치액', '식초', '소주']"
닭가슴살배추전,노릇하고 고소한 닭가슴살 배추전 ,"['속배추', '닭가슴살', '노랑 파프리카', '빨강 파프리카', '청양고추', '부침가루', '밀가루', '찬물', '소금', '후추', '참기름']"
두부참치김치찌개,초간단 두부 참치김치찌개,"['신김치', '대파', '참치', '두부', '다진 마늘', '고춧가루', '설탕', '후춧가루']"
소세지야채볶음밥,아이용 소세지야채볶음밥,"['소세지', '당근', '양파', '파', '간마늘', '소금', '공기 밥']"
쇠고기누드김밥,쇠고기 누드김밥,"['쇠고기', '오이', '김밥용김', '맛살', '밥', '소금', '올리브유(식용유)', '단무지', '참기름', '마늘', '참기름', '간장', '후추', '소주', '꿀']"
광어아욱된장국,광어 아욱된장국,"['자투리 광어 살', '아욱', '콩나물', '부추', '해물육수', '새우가루', '맛술', '된장', '소금', '다진 마늘']"
생선카레볶음밥,다이어트도 맛있게 먹으면서 생선카레볶음밥 ,"['잡곡 밥', '고등어 생선살', '양배추', '표고버섯', '닭고기 비엔나', '청양고추', '홍청양고추', '올리브오일', '카레가루']"
차돌박이콩나물밥,차돌박이 콩나물밥,"['차돌박이', '불린 쌀', '콩나물', '표고버섯', '청주', '미나리', '양조간장', '고추가루', '다진마늘', '참기름', '통깨']"
표고버섯무나물볶음,"표고 무의 조합~
표고버섯무나물볶음","['무', '표고버섯', '소고기다시다', '들기름', '소금', '마늘', '파', '후추', '통깨']"
치킨마요삼각김밥,[가와지1호] 어제 남은 치킨으로 만든~!! 치킨마요 삼각김밥,"['가와지1호로 지은 밥', '삼각김밥용 김', '양파', '치킨', '마요네즈', '데리야끼소스', '참기름', '소금']"
고추참치김치전,김치전 만들기 고추참치를 넣은 고추참치 김치전,"['부침가루', '물', '고추참치', '김치', '간장', '고춧가루', '후추', '식용유', '소금']"
감자샐러드깻잎전,감자샐러드깻잎전:남은 반찬활용기,"['감자샐러드', '깻잎', '밀가루(부침가루)', '계란', '토마토케첩', '식용유']"
바질참치마요김밥,바질 참치 마요 김밥 만드는법,"['구운김', '밥', '계란', '우엉 볶음', '당근', '어묵 볶음', '스팸', '체다 치즈', '바질', '참치 마요', '소금', '우엉', '양조간장', '설탕', '올리고당', '식용유', '소주', '물', '식용유', '물', '소금', '후추', '마요네즈', '참기름', '후춧가루']"
사과배깍두기,알토란 사과배깍두기 ,"['사과', '배', '쪽파', '고춧가루', '액젓', '새우젓', '다진마늘', '설탕']"
냉콩나물국,맑은 냉콩나물국,"['북어 머리 육수', '콩나물', '청고추', '홍고추', '파', '다진 마늘', '국간장', '소금']"
느타리버섯오징어부추전,느타리버섯 오징어부추전~비오는날 막걸리와 함께~,"['부추', '느타리버섯(大)', '홍고추', '생 오징어(小)', '계란', '부침가루', '물', '소금', '해바라기유']"
어묵땡초김밥,[어묵땡초 김밥만들기] 빠르고 간단하게 만드는 매콤김밥 아삭해서 진짜 맛있어요,"['김밥용김', '현미밥', '어묵', '궁채 장아찌', '깻잎', '마늘', '간장', '대파', '청양고추', '올리고당']"
새우젓콩나물국,[국]초초간단 새우젓 콩나물국,"['콩나물', '다진마늘', '새우젓', '청양고추', '송송 썬 쪽파']"
맛살달걀볶음밥,맛살달걀볶음밥 만들기,"['달걀', '밥', '대파', '맛살', '굴소스', '고추기름', '소금']"
단배추된장국,단배추된장국 끓이는 법 배추된장국 끓이는 법 된장국 만드는 법,"['멸치다시마육수', '데친 단배추', '다진마늘', '대파', '된장', '꽃소금']"
해초멍게비빔밥,다이어트 비빔밥/해초 멍게비빔밥,"['손질 멍게', '염장 모듬 해초', '흑미밥', '참기름', '고추장', '매실청', '식초', '황설탕', '올리고당', '간장', '생강즙', '레몬즙', '깨소금']"
베이컨배추전,베이컨배추전 만드는법 전요리 연말연시 혼술안주 추천,"['알배추', '베이컨', '부침가루', '물', '식용유', '진간장', '식초', '고추가루', '통깨']"
땅두릅마늘쫑장아찌,땅두릅마늘쫑장아찌:장김치양념에 담그다(feat.두릅손질법),"['손질한 땅 두릅', '마늘쫑', '국간장', '설탕', '현미식초']"
캔꽁치감자조림,[대용량반찬]캔꽁치 감자조림~*,"['캔 꽁치', '감자', '대파', '양파반개', '청양초', '다시육수', '간장', '고춧가루', '다진마늘', '후추', '생강가루', '갈색설탕', '맛술']"
간장오징어감자조림,여름 밑반찬 ★ 간장 오징어감자조림,"['오징어', '감자', '쪽파', '생강', '마늘', '청양고추', '깨', '참기름', '물', '간장', '맛술', '올리고당']"
홍합연근조림,<세종댁달순 레시피> 홍합요리 / 홍합연근조림,"['홍합', '연근', '홍파프리카', '노랑파프리카', '참기름', '간장', '멸치 액젓', '물', '홍합불린 물', '맛술', '올리고 당', '설탕', '매실액', '생강']"
블루베리닭가슴살샐러드,[닭가슴살] 다이어트에 좋은 블루베리 닭가슴살 샐러드,"['닭가슴살', '블루베리', '양배추', '오이', '파프리카', '적양배추', '요거트', '키위소스', '소금']"
