name,food_name,ingredients
파인애플당근케이크,파인애플당근케이크,"['달걀', '오일', '설탕', '중력분', '베이킹파우더', '소금', '시나몬파우더', '잘게 썬 당근', '파인애플']"
고추토마토스파게티,마늘빵을 곁들인 고추 토마토 스파게티,"['스파게티 면', '홀 토마토', '양파', '풋고추', '파마산 치즈', '바게트', '버터', '올리브 오일', '화이트 와인', '토마토 케첩', '마늘', '타바스코 핫소스', '소금', '백후추', '파슬리 가루']"
몬테크리스토시리얼토스트,뻔한 재료로 인생 토스트 만들어 드립니다. 몬테크리스토 시리얼 토스트,"['식빵', '통조림햄', '슬라이스 치즈', '계란', '설탕', '소금', '땅콩버터', '딸기잼', '시리얼']"
블루베리초코브라우니,블루베리 초코브라우니,"['박력분', '초콜릿', '무염버터', '코코아가루', '계란', '우유', '흑설탕+황설탕', '냉동 블루베리', '슈거파우더']"
딸기롤케이크,딸기롤케이크만들기,"['휘핑크림', '설탕', '계란', '설탕', '밀가루박력분', '설탕', '물엿', '베이킹파우더', '포도씨유', '바닐라에센스', '딸기(작은크기)']"
스팸핫케이크,핫도그 같아요~~ 스팸 핫케이크,"['스팸', '양파', '계란', '물', '핫케익믹스 250g', '식용유']"
아마씨밤식빵,아마씨를 넣은 요구르트 식빵,"['우리밀 강력분', '아마씨', '플레인 요구르트', '물', '인스턴트 드라이이스트', '천일염', '비정제황설탕', '버터']"
또띠야고구마피자,또띠야고구마피자,"['또디아', '호박고구마', '파마산치즈가루', '파슬리가루', '냉자고속야채', '햄', '양파', '피자치즈', '피자소스']"
호두크림치즈호떡,고소한 호두 크림치즈 호떡 만들기(+영상)｜효썸,"['호떡 믹스', '따뜻한 물', '크림치즈', '설탕', '다진 호두']"
오이감자샌드위치,"[샌드위치 레시피]감자샌드위치 만드는 법,오이감자샌드위치 ","['식빵 or모닝빵', '감자', '오이', '계란', '햄(마늘햄)', '소금', '설탕', '소금', '마요네즈', '머스타드소스']"
크림치즈식빵햄카나페,크림치즈 식빵 햄 카나페 ,"['식빵', '치커리', '오이', '슬라이스햄', '파인애플 크림치즈', '머스타드']"
사과궁중떡볶이,사과궁중떡볶이 만들기,"['사과', '떡볶이떡', '쇠고기', '노랑파프리카', '빨강파프리카', '초록파프리카', '적양배추', '양파', '간장', '매실청', '참기름', '간장', '매실청', '다진마늘', '참기름', '맛술', '통깨']"
모닝계란빵,모닝계란빵 만들기,"['모닝빵', '계란', '소금', '파슬리']"
가래떡피자,가래떡피자 ,"['가래떡', '당근', '옥수수', '햄', '브로콜리', '모짜렐라치즈', '치즈가루', '스파게티소스']"
냉이오일파스타,냉이오일파스타,"['백설 스파게티', '냉이', '달래', '해찬들재래식 된장', '마늘', '백설안달루시아산올리브유', '다시다요리수치킨스톡', '파마산치즈가루', '물', '버터', '소금']"
빠네크림스파게티,[초간단] 식빵 빠네 크림스파게티를 집에서!,"['해표크림스파게티', '대림선캠프앤하우스베이컨', '통식빵', '브로콜리']"
옥수수콘치즈모닝빵,"옥수수 콘치즈 모닝빵 만들기, 아이간식 ","['모닝빵', '옥수수', '마요네즈', '허니머스터드', '양파', '빨강 파프리카']"
누룽지밥피자,엄마표 누룽지 밥피자 만들기 / 노오븐 초간단 밥피자,"['밥', '버터', '야채다짐', '볶은소고기', '케첩', '간장', '피자치즈', '슈레드치즈', '파마산치즈가루', '후추']"
목살토마토스파게티,방울토마토 갈아 넣고 만든 목살 토마토스파게티,"['식용유', '다진마늘', '대파', '양파', '방울토마토', '토마토소스', '스파게티면', '대패목살', '허브솔트']"
소세지피자빵,이제 이 빵은 사서 먹는일은 없을듯 해요 소세지피자빵,"['강력분', '우유', '버터', '드라이이스트', '소금', '설탕', '양파', '당근', '옥수수', '모짜렐라치즈', '소세지', '마요네즈', '허니머스타드', '케찹', '꿀', '후추']"
마늘빵치즈샌드,바삭하고 쫀득한~ 마늘빵 치즈샌드,"['다진마늘', '올리고당', '버터', '식빵', '피자치즈']"
통밀크랜베리스콘,크랜베리 통밀 스콘 만들기 홈베이킹 레시피,"['박력분', '통밀가루', '베이킹 파우더', '소금', '황설탕', '버터', '크랜베리', '우유']"
야채사라다빵,아삭아삭 야채사라다빵,"['양배추', '양파', '당근', '오이', '크래미', '슬라이스햄', '핫도그번', '케찹', '마요네즈', '소금', '설탕', '후추']"
버섯간장떡볶이,닭가슴살 버섯간장떡볶이,"['닭가슴살', '현미떡볶이', '양파', '당근', '버섯', '파', '삶은', '간장', '참기름', '올리고당', '다진마늘']"
스파게티면튀김,스파게티튀김-초간단 간식 스파게티면튀김,"['스파게티면', '소금']"
콩바스크치즈케이크,정식품 콩국물 - 콩바스크치즈케이크 ,"['크림치즈', '진한 콩국물', '진한 검은콩 콩국물', '생크림', '바닐라설탕', '설탕', '달걀', '소금', '레몬즙', '전분', '높은 라운드틀 1호']"
오레오오트밀초코칩쿠키,오레오 오트밀 초코칩쿠키,"['박력분', '오트밀', '아몬드가루', '자일로스설탕', '버터', '베이킹파우더', '소금', '포도씨유', '오레오', '초코칩']"
소보로모카머핀,소보로 모카 머핀,"['박력분', '버터', '설탕', '달걀', '베이킹파우더', '소금', '우유', '커피', '물', '소보로']"
말차초코쿠키,쌀로만든 모카쁘띠볼 초코쿠키&말차쁘띠볼 초코쿠키,"['박력쌀가루', '아몬드파우더', '슈거파우더', '달걀', '로띠커피향', '버터', '박력쌀가루', '말차가루', '아몬드파우더', '슈거파우더', '달걀', '바닐라오일', '버터', '다크초콜릿', '버터', '생크림']"
치즈스크램블에그샌드위치,스크램블 에그 샌드위치,"['달걀', '모짜렐라치즈', '우유', '식빵', '햄', '치즈', '소금', '기름']"
