바나나잼,전자렌지 바나나잼,"['설탕', '', '바나나']",['Banana']
마늘치킨샐러드,남은 치킨으로 만드는 간단 마늘 치킨 샐러드!,"['', '설탕', '참기름', '후추', '식초', '간장', '채소', '마늘', '치킨', '양파', '소금']","['Onion', 'Chicken', 'Beans', 'Other grains', 'Pepper', 'Eggs', 'Wheat', 'Green onion', 'Garlic', 'Other fruiting vegetables', 'Other herbage crop']"
단팥죽,단팥죽 만들기,"['', '팥']",['Other grains']
김치녹두전,김치녹두전 집에서도 간단하게 ~,"['김치', '', '소금', '녹두 계피']","['Chilly', 'Other herbage crop']"
포도잼불고기피자,포도잼 불고기피자,"['', '빵', '옥수수', '치즈']","['Corn', 'Butter', 'Wheat', 'Eggs', 'Cheese']"
무청시래기된장찌개,무청시래기 된장찌개 끓이는법 ,"['', '고추', '된장', '마늘', '파', '무']","['Beans', 'Chilly', 'Wheat', 'Garlic', 'Radish']"
복숭아레어치즈케이크,상큼한 복숭아 레어치즈케이크,"['', '우유', '버터', '치즈', '생크림']","['Cheese', 'Other dairy products', 'Butter']"
감자고구마계란샌드위치,간식 - 감자고구마계란 샌드위치,"['고구마', '감자', '빵', '계란']","['Butter', 'Wheat', 'Eggs', 'Sweet potato', 'Potato']"
망고레어치즈케이크,망고 레어치즈 케이크,"['', '설탕', '버터', '치즈', '생크림']","['Cheese', 'Other dairy products', 'Butter']"
표고버섯청경채볶음,[반찬] 표고버섯청경채볶음,"['', '청경채', '굴소스', '마늘', '식용유', '버섯']","['Oyster', 'Other seasonings', 'Garlic', 'Other herbage crop']"
퀴노아연어샐러드,남미풍 퀴노아 연어 샐러드,"['', '오리고기', '후추', '올리브유', '아보카도', '토마토', '오이', '퀴노아', '양파']","['Onion', 'Other fruiting vegetables', 'Cucumber', 'Other grains', 'Tomato', 'Pepper', 'Duck']"
쇼콜라딸기잼쿠키, 쇼콜라 딸기잼 쿠키,"['버터', '설탕', '', '계란', '생크림']","['Eggs', 'Other dairy products', 'Butter']"
호두베이글샌드위치,감자 호두 베이글 샌드위치,"['', '치커리', '계란', '생크림', '후추', '감자', '마요네즈', '오이', '소금']","['Other dairy products', 'Cucumber', 'Pepper', 'Eggs', 'Potato', 'Other herbage crop']"
펜네파스타샐러드,[식약처] 펜네 파스타 샐러드,"['', '아스파라거스', '콩', '올리브유', '소금', '양파', '잣', '파스타 면']","['Onion', 'Beans', 'Pinenuts', 'Wheat', 'Eggs', 'Other herbage crop']"
고등어무청시래기조림,고등어 무청시래기조림,"['', '고추', '참기름', '후추', '간장', '된장', '고등어', '마늘', '양파', '무']","['Onion', 'Beans', 'Other grains', 'Pepper', 'Chilly', 'Wheat', 'Garlic', 'Radish']"
복숭아오픈샌드위치,복숭아오픈샌드위치~,"['설탕', '', '후추']",['Pepper']
해물파스타샐러드,해물파스타샐러드,"['새우', '', '설탕', '고추', '오징어', '레몬', '토마토', '오이', '마늘', '파스타면', '양파']","['Other mollusks', 'Shrimp', 'Other fruits', 'Onion', 'Cucumber', 'Tomato', 'Eggs', 'Chilly', 'Wheat', 'Garlic']"
바게트참치샌드위치,바게트 참치 샌드위치,"['', '치커리', '빵', '치즈', '후추', '마요네즈', '양상추', '양파', '소금', '참치']","['Onion', 'Butter', 'Pepper', 'Other fish', 'Wheat', 'Eggs', 'Cheese', 'Other herbage crop']"
오렌지치킨샐러드,달콤한 오렌지소스가 매력적인 오렌지치킨,"['', '고추', '참기름', '계란', '후추', '밀', '닭', '식초', '마늘', '식용유', '간장', '소금']","['Garlic', 'Chicken', 'Beans', 'Other grains', 'Pepper', 'Chilly', 'Wheat', 'Eggs']"
생강청샐러드,생강청샐러드 생강청드레싱 그린샐러드 샐러드만들기 샐러드 만드는 법,"['새우', '', '올리브유', '포도', '상추', '간장']","['Beans', 'Shrimp', 'Other fruits']"
땅콩버터딸기잼쿠키,딸기잼 쿠키,"['설탕', '버터', '우유', '', '계란', '밀']","['Eggs', 'Wheat', 'Butter']"
크로와상샌드위치,크로와상샌드위치,"['', '양파', '빵', '굴소스']","['Onion', 'Other seasonings', 'Butter', 'Wheat', 'Eggs', 'Oyster']"
키위생크림롤케이크,"(Home made)
복숭아&키위 아이스 생크림케잌","['', '우유', '계란', '키위', '복숭아']","['Eggs', 'Peach', 'Kiwi']"
아이스녹차라떼,가루녹차로 만드는 시원한 아이스 녹차라떼,"['', '우유', '녹차', '아이스크림']","['Eggs', 'Other dairy products']"
로투스브라우니치즈케이크, 로투스 브라우니 치즈 케이크,"['버터', '초콜릿', '설탕', '', '계란', '치즈', '생크림', '밀', '소금']","['Other dairy products', 'Butter', 'Wheat', 'Eggs', 'Cheese']"
믹스베리레몬에이드,과일티백으로 쉽게 만드는 믹스베리레몬에이드 ,"['', '레몬']",['Other fruits']
살구잼,살구잼 살구쨈 만드는 법,"['설탕', '살구']",[]
베이컨감자샐러드,"베이컨감자샐러드, 모닝빵 샌드위치","['', '버터', '빵', '감자', '마요네즈', '햄']","['Butter', 'Wheat', 'Pork', 'Eggs', 'Potato']"
키위레몬청,키위레몬청 키위효능과 감기예방 수제청 만들기 ,"['설탕', '꿀', '키위', '레몬']","['Honey', 'Other fruits', 'Kiwi']"
브레드,"밥솥 플랫브레드, 피타 브레드(pita bread)","['', '설탕', '우유', '밀', '올리브유', '소금']",['Wheat']
돈까스카레라이스,바삭하게 즐기는 돈까스 카레 덮밥(돈까스 카레라이스),"['', '호박', '돈가스', '고구마', '카레', '양파', '쌀']","['Onion', 'Wheat', 'Pork', 'Eggs', 'Other fruiting vegetables', 'Sweet potato', 'Rice']"
무청시래기지짐,칼칼하고 구수한 무청 시래기 지짐,"['', '설탕', '깨', '고추장', '된장', '마늘', '쌀']","['Beans', 'Chilly', 'Wheat', 'Garlic', 'Rice']"
양배추사과당근주스,양배추로 주스 만들기 : 양배추 사과 당근 주스 ( Cabbage apple carrot Juice ),"['', '양배추', '사과', '당근']","['Other root vegetables', 'Other herbage crop']"
청경채된장무침,초간단 청경채된장무침,"['', '청경채', '고추장', '된장', '마늘']","['Beans', 'Chilly', 'Wheat', 'Garlic', 'Other herbage crop']"
유자청족발냉채,"먹다 남은 족발 활용, 새콤달콤 유자청 족발 냉채","['깨', '', '식초', '마늘', '파프리카', '돼지고기', '상추', '간장']","['Garlic', 'Other fruiting vegetables', 'Beans', 'Pork']"
쌀가루핫케이크,쌀가루 핫케이크와 블루베리 콩포트,"['계란', '우유', '쌀', '']","['Eggs', 'Rice']"
