부추 콩가루 찜,부추 콩가루 찜,"['', '참기름', '참깨', '부추', '마늘', '대파', '고추']","['Chilly', 'Other grains', 'Chives', 'Green onion', 'Garlic']"
방울토마토 소박이,방울토마토 소박이,"['', '매실', '설탕', '양파', '멸치액젓', '마늘', '깨']","['Other fruits', 'Beans', 'Other seasonings', 'Onion', 'Other grains', 'Other fish', 'Garlic']"
순두부 사과 소스 오이무침,순두부 사과 소스 오이무침,"['', '사과']",['Apple']
사과 새우 북엇국,사과 새우 북엇국,"['', '사과', '양파', '버섯', '새우']","['Apple', 'Other shellfish', 'Shrimp', 'Onion']"
저염 된장으로 맛을 낸 황태해장국,저염 된장으로 맛을 낸 황태해장국,"['', '마늘', '콩나물', '고추', '된장', '무']","['Radish', 'Beans', 'Other seasonings', 'Chilly', 'Garlic']"
된장국,된장국,"['', '양파', '대파', '감자', '된장', '버섯']","['Beans', 'Other seasonings', 'Onion', 'Potato', 'Green onion']"
표고버섯 청경채국,표고버섯 청경채국,"['', '다시마', '간장', '양파', '마늘', '멸치', '버섯']","['Beans', 'Other seasonings', 'Other seafood', 'Onion', 'Other fish', 'Garlic']"
치커리샐러드와 올리브 마늘 소스,치커리샐러드와 올리브 마늘 소스,"['', '설탕', '양파', '마늘', '양배추', '식초', '치커리']","['Garlic', 'Other herbage crop', 'Onion']"
스트로베리 샐러드,스트로베리 샐러드,"['', '메추리알', '양상추', '소금', '블루베리', '요거트', '식초']",['Other herbage crop']
시금치 우유 소스와 그린매쉬드포테이토,시금치 우유 소스와 그린매쉬드포테이토,"['', '설탕', '아몬드', '감자', '시금치 우유', '크랜베리', '우유']","['Potato', 'Almond', 'Milk', 'Other fruits']"
버섯구이와 두부타르타르 소스,버섯구이와 두부타르타르 소스,"['', '꿀', '레몬', '올리브오일', '후추', '오이피클', '머스터드', '양파', '버섯', '식초']","['Cucumber', 'Other fruits', 'Onion']"
구운채소와 간장레몬 소스,구운채소와 간장레몬 소스,"['', '설탕', '레몬', '호박', '양파', '피망', '발사믹크림', '버섯', '채소 가지', '식초', '파프리카']","['Other fruits', 'Onion', 'Other herbage crop', 'Other fruiting vegetables', 'Other dairy products']"
브로콜리 컬리플라워 샐러드와 두유 요거트 소스,브로콜리 컬리플라워 샐러드와 두유 요거트 소스,"['', '레몬', '설탕', '포도', '콩', '양파', '브로컬리', '컬리플라워', '요거트', '호두']","['Other fruits', 'Beans', 'Other seasonings', 'Walnut', 'Onion', 'Other herbage crop']"
오렌지와 당근 만남주스,오렌지와 당근 만남주스,"['', '오렌지']",['Other fruits']
칠곡석류국수,칠곡석류국수,"['', '소면', '호박씨', '오이', '아몬드', '소금', '호두', '해바라기씨']","['Other nuts', 'Walnut', 'Other grains', 'Almond', 'Wheat', 'Other fruiting vegetables', 'Cucumber']"
블랙빈 곤약국수,블랙빈 곤약국수,"['', '토마토', '콩', '흑임자', '계란']","['Tomato', 'Eggs', 'Beans', 'Other seasonings']"
닭가슴살 브로콜리 만두,닭가슴살 브로콜리 만두,"['', '숙주', '닭', '후추', '참기름', '간장', '브로컬리', '소금', '버섯']","['Beans', 'Other seasonings', 'Other grains', 'Other herbage crop', 'Chicken']"
함초 냉이 국수,함초 냉이 국수,"['', '냉이', '파', '양파', '다시마', '고추', '버섯', '무', '조개']","['Radish', 'Other shellfish', 'Other seafood', 'Chilly', 'Onion', 'Green onion']"
된장 두부찌개,된장 두부찌개,"['대파', '고추', '된장', '두부', '돼지고기', '김치', '쌀']","['Pork', 'Beans', 'Other seasonings', 'Chilly', 'Other herbage crop', 'Green onion', 'Rice']"
부대된장찌개,부대된장찌개,"['무', '햄', '다시마', '양파', '마늘', '소고기', '베이컨', '된장', '대파', '고추', '두부', '떡', '김치']","['Radish', 'Pork', 'Beans', 'Other seasonings', 'Other seafood', 'Onion', 'Chilly', 'Beef', 'Other herbage crop', 'Green onion', 'Rice', 'Garlic']"
양배추감자전,양배추감자전,"['', '당근', '간장', '감자', '고추', '양배추', '계란', '두부', '돼지고기', '식초']","['Pork', 'Beans', 'Other seasonings', 'Chilly', 'Potato', 'Other herbage crop', 'Eggs']"
돌나물 샐러드,돌나물 샐러드,"['', '레몬', '참기름', '고추', '버섯', '돌나물']","['Other grains', 'Other fruits', 'Other herbage crop', 'Chilly']"
석류 보쌈김치,석류 보쌈김치,"['', '미나리', '석류', '쪽파', '새우젓', '마늘', '배추', '생강']","['Other fruits', 'Other herbage crop', 'Green onion', 'Shrimp', 'Garlic']"
유자 대구조림,유자 대구조림,"['', '미나리', '대구', '버섯', '발사믹식초', '파프리카']","['Other fruiting vegetables', 'Other fish']"
파프리카 물김치,파프리카 물김치,"['', '쪽파', '사과', '배', '고구마', '부추', '배추', '무', '물엿', '파프리카']","['Radish', 'Other fruits', 'Sweet potato', 'Chives', 'Other herbage crop', 'Green onion', 'Other fruiting vegetables', 'Apple']"
고추장 라따뚜이,고추장 라따뚜이,"['', '토마토', '햄', '설탕', '가지', '애호박', '고추장', '바질', '마늘', '버섯']","['Pork', 'Beans', 'Other seasonings', 'Tomato', 'Chilly', 'Other herbage crop', 'Other fruiting vegetables', 'Garlic']"
민들레 샐러드,민들레 샐러드,"['', '레몬', '설탕', '비트', '민들레', '고추']","['Other herbage crop', 'Chilly', 'Other fruits', 'Other root vegetables']"
토마토 가지 카프레제,토마토 가지 카프레제,"['', '토마토', '후추', '가지', '마늘', '무순', '발사믹식초']","['Tomato', 'Radish', 'Garlic', 'Other fruiting vegetables']"
우렁된장소스 배추롤,우렁된장소스 배추롤,"['우렁', '당근', '애호박', '양파', '부추', '배추', '된장', '버섯', '돼지고기', '쌀']","['Other shellfish', 'Pork', 'Beans', 'Other seasonings', 'Onion', 'Chives', 'Other herbage crop', 'Other fruiting vegetables', 'Rice']"
인삼떡갈비,인삼떡갈비,"['', '설탕', '호박', '애호박', '배', '양파', '간장', '마늘', '소고기', '인삼', '배추', '소금', '버섯', '돼지고기', '대추', '파프리카']","['Other fruits', 'Pork', 'Beans', 'Other seasonings', 'Onion', 'Beef', 'Other herbage crop', 'Other fruiting vegetables', 'Other root vegetables', 'Garlic']"
초계탕과 사색곤약,초계탕과 사색곤약,"['설탕', '닭', '후추', '오이', '곤약', '비트', '치자', '다시마', '양파', '마늘', '대파', '소금', '겨자', '가시오가피', '새우', '식초']","['Other shellfish', 'Other seafood', 'Onion', 'Green onion', 'Shrimp', 'Other root vegetables', 'Garlic', 'Cucumber', 'Chicken']"
호박잎 삼계탕,호박잎 삼계탕,"['', '미나리', '닭', '후추', '호박잎', '소금', '인삼', '대추', '쌀']","['Other root vegetables', 'Other herbage crop', 'Other fruiting vegetables', 'Rice', 'Chicken']"
황태미역 곤약스프,황태미역 곤약스프,"['들깨', '곤약', '참기름', '액젓', '마늘', '된장', '미역', '황태', '버섯', '두부']","['Beans', 'Other seasonings', 'Other seafood', 'Other grains', 'Other fish', 'Garlic']"
훈제오리가슴살 샐러드,훈제오리가슴살 샐러드,"['', '파슬리', '레디쉬', '발사믹소스', '양파', '오리고기', '블루베리']","['Duck', 'Onion']"
